S Ladda,1,0,0,0,0,0,0,0,0,0,0,0,0
VR Aaron,8,1,1,0,0,0,0,0,0,0,0,0,0
KJ Abbott,5,3,2,13,12,13,8,162.5,0,0,1,0,1
AD Nath,4,3,0,20,12,6.66,27,74.07,0,0,0,1,0
MA Agarwal,3,3,0,27,10,9,25,108,0,0,0,3,1
HM Amla,6,6,0,157,96,26.16,119,131.93,0,1,1,20,4
Ankit Sharma,3,1,1,3,3,0,3,100,0,0,0,0,0
Anureet Singh,2,0,0,0,0,0,0,0,0,0,0,0,0
S Aravind,9,0,0,0,0,0,0,0,0,0,0,0,0
A Ashish Reddy,4,3,1,47,32,23.5,29,162.06,0,0,0,2,4
M Ashwin,10,1,0,0,0,0,1,0,0,0,1,0,0
R Ashwin,14,6,4,41,29,20.5,38,107.89,0,0,1,3,1
GJ Bailey,6,5,1,84,34,21,98,85.71,0,0,1,9,2
F Behardien,3,3,1,14,9,7,13,107.69,0,0,1,2,0
R Bhatia,10,6,5,34,21,34,20,170,0,0,0,1,2
SW Billings,5,4,0,88,54,22,64,137.5,0,1,0,4,4
STR Binny,14,6,2,63,21,15.75,39,161.53,0,0,0,5,4
Bipul Sharma,7,4,2,51,27,25.5,25,204,0,0,0,1,5
SM Boland,2,0,0,0,0,0,0,0,0,0,0,0,0
TA Boult,1,0,0,0,0,0,0,0,0,0,0,0,0
CR Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,0,6,8
DJ Bravo,15,13,5,99,22,12.37,82,120.73,0,0,1,11,1
JJ Bumrah,14,2,1,8,6,8,11,72.72,0,0,0,1,0
JC Buttler,14,14,3,255,41,23.18,184,138.58,0,0,1,23,11
KC Cariappa,5,2,1,13,12,13,11,118.18,0,0,0,0,1
YS Chahal,13,0,0,0,0,0,0,0,0,0,0,0,0
DL Chahar,2,0,0,0,0,0,0,0,0,0,0,0,0
UBT Chand,1,1,0,0,0,0,4,0,0,0,1,0,0
PP Chawla,12,3,0,27,11,9,26,103.84,0,0,0,4,0
BCJ Cutting,4,4,2,65,39,32.5,34,191.17,0,0,1,4,6
Q de Kock,13,13,1,445,108,37.08,327,136.08,1,3,0,52,13
AB de Villiers,16,16,3,687,129,52.84,407,168.79,1,6,1,57,37
R Dhawan,2,2,2,14,11,0,6,233.33,0,0,0,0,1
S Dhawan,17,17,4,501,82,38.53,429,116.78,0,4,1,51,8
MS Dhoni,14,12,5,284,64,40.57,210,135.23,0,1,0,18,14
AB Dinda,9,0,0,0,0,0,0,0,0,0,0,0,0
JP Duminy,10,8,3,191,49,38.2,156,122.43,0,0,0,13,3
F du Plessis,6,6,0,206,69,34.33,162,127.16,0,2,0,17,9
ER Dwivedi,4,2,0,24,19,12,14,171.42,0,0,0,2,2
JP Faulkner,7,5,2,77,32,25.66,59,130.5,0,0,0,7,0
AJ Finch,13,12,2,393,74,39.3,299,131.43,0,5,2,45,11
G Gambhir,15,15,2,501,90,38.53,411,121.89,0,5,1,54,6
CH Gayle,10,10,0,227,76,22.7,150,151.33,0,2,1,17,21
S Gopal,1,1,0,2,2,2,16,12.5,0,0,0,0,0
MJ Guptill,3,3,0,57,48,19,55,103.63,0,0,0,3,3
Gurkeerat Singh,7,6,1,113,51,22.6,86,131.39,0,1,1,11,3
PSP Handscomb,2,1,0,6,6,6,12,50,0,0,0,0,0
Harbhajan Singh,14,7,4,92,45,30.66,84,109.52,0,0,1,11,2
JW Hastings,2,0,0,0,0,0,0,0,0,0,0,0,0
TM Head,3,3,1,54,37,27,40,135,0,0,0,3,2
MC Henriques,17,15,3,182,31,15.16,158,115.18,0,0,1,15,6
GB Hogg,5,1,1,0,0,0,0,0,0,0,0,0,0
JO Holder,4,4,0,22,13,5.5,19,115.78,0,0,1,2,1
DJ Hooda,17,15,1,144,34,10.28,121,119,0,0,0,9,5
Imran Tahir,4,1,0,5,5,5,7,71.42,0,0,0,1,0
Iqbal Abdulla,8,2,2,37,33,0,27,137.03,0,0,0,4,1
Ishan Kishan,5,5,0,42,27,8.4,41,102.43,0,0,1,5,0
SS Iyer,6,6,0,30,19,5,43,69.76,0,0,3,2,1
RA Jadeja,15,15,6,191,36,21.22,177,107.9,0,0,1,14,4
KM Jadhav,4,3,3,42,25,0,32,131.25,0,0,0,2,2
SB Jakati,6,1,1,1,1,0,2,50,0,0,0,0,0
MG Johnson,3,3,1,5,4,2.5,14,35.71,0,0,0,0,0
CJ Jordan,9,1,0,3,3,3,4,75,0,0,0,0,0
KD Karthik,16,15,2,335,53,25.76,266,125.93,0,3,1,38,3
S Kaushik,7,2,1,0,0,0,1,0,0,0,1,0,0
SN Khan,5,4,2,66,35,33,31,212.9,0,0,0,7,4
Z Khan,12,2,0,6,4,3,13,46.15,0,0,0,1,0
UT Khawaja,6,6,0,127,30,21.16,100,127,0,0,0,14,3
V Kohli,16,16,4,973,113,81.08,640,152.03,4,7,1,83,38
Kuldeep Yadav,3,0,0,0,0,0,0,0,0,0,0,0,0
DS Kulkarni,14,5,3,27,10,13.5,16,168.75,0,0,0,3,0
B Kumar,17,8,2,43,21,7.16,27,159.25,0,0,0,6,1
P Kumar,16,7,3,24,15,6,26,92.3,0,0,1,3,0
CA Lynn,2,2,1,25,15,25,22,113.63,0,0,0,0,1
MJ McClenaghan,14,5,2,34,20,11.33,23,147.82,0,0,0,2,3
BB McCullum,16,16,0,354,60,22.12,262,135.11,0,1,1,38,16
Mandeep Singh,1,0,0,0,0,0,0,0,0,0,0,0,0
MR Marsh,3,1,0,7,7,7,11,63.63,0,0,0,0,0
SE Marsh,6,6,1,159,56,31.8,134,118.65,0,1,0,13,4
GJ Maxwell,11,11,2,179,68,19.88,124,144.35,0,2,3,14,8
DA Miller,14,13,3,161,31,16.1,131,122.9,0,0,1,11,4
AF Milne,1,0,0,0,0,0,0,0,0,0,0,0,0
A Mishra,14,2,0,4,3,2,14,28.57,0,0,0,0,0
Mohammed Shami,8,2,2,2,2,0,4,50,0,0,0,0,0
EJG Morgan,7,6,1,123,51,24.6,105,117.14,0,1,1,8,4
JA Morkel,2,1,0,16,16,16,9,177.77,0,0,0,0,2
M Morkel,10,2,2,1,1,0,1,100,0,0,0,0,0
CH Morris,12,7,4,195,82,65,109,178.89,0,1,1,15,12
C Munro,4,3,0,30,16,10,30,100,0,0,0,3,0
Mustafizur Rahman,16,0,0,0,0,0,0,0,0,0,0,0,0
S Nadeem,4,1,1,1,1,0,5,20,0,0,0,0,0
NS Naik,2,2,0,23,22,11.5,31,74.19,0,0,0,1,0
KK Nair,14,12,2,357,83,35.7,297,120.2,0,3,0,40,6
SP Narine,11,4,3,7,4,7,13,53.84,0,0,0,0,0
P Negi,8,6,4,57,19,28.5,59,96.61,0,0,0,2,3
A Nehra,8,2,2,1,1,0,1,100,0,0,0,0,0
NV Ojha,17,13,3,136,37,13.6,138,98.55,0,0,1,7,5
MK Pandey,12,11,3,248,52,31,183,135.51,0,2,1,17,9
HH Pandya,11,9,2,44,9,6.28,63,69.84,0,0,0,4,0
KH Pandya,12,9,3,237,86,39.5,124,191.12,0,1,0,22,13
RR Pant,10,10,2,198,69,24.75,152,130.26,0,1,0,19,6
Parvez Rasool,4,1,0,10,10,10,9,111.11,0,0,0,1,0
AR Patel,14,10,3,111,36,15.85,77,144.15,0,0,2,4,8
HV Patel,5,1,1,0,0,0,0,0,0,0,0,0,0
PA Patel,10,10,0,177,81,17.7,152,116.44,0,1,1,23,4
IK Pathan,4,3,0,11,7,3.66,13,84.61,0,0,0,0,0
YK Pathan,15,13,8,361,63,72.2,248,145.56,0,3,0,33,13
NLTC Perera,12,10,3,150,34,21.42,93,161.29,0,0,0,7,11
KP Pietersen,4,4,2,73,37,36.5,61,119.67,0,0,0,4,3
KA Pollard,13,12,4,207,51,25.87,144,143.75,0,1,0,11,16
AM Rahane,14,14,3,480,74,43.63,379,126.64,0,6,2,54,9
KL Rahul,14,12,3,397,68,44.11,271,146.49,0,4,1,37,16
SK Raina,15,15,1,399,75,28.5,312,127.88,0,3,0,39,10
AS Rajpoot,4,0,0,0,0,0,0,0,0,0,0,0,0
N Rana,4,3,0,104,70,34.66,75,138.66,0,1,0,7,8
AT Rayudu,13,12,1,334,65,30.36,278,120.14,0,2,1,28,12
KW Richardson,4,1,1,1,1,0,1,100,0,0,0,0,0
AD Russell,12,8,1,188,39,26.85,114,164.91,0,0,0,10,15
Sachin Baby,11,6,2,119,33,29.75,79,150.63,0,0,1,9,5
WP Saha,12,12,1,270,56,24.54,212,127.35,0,2,0,29,1
P Sahu,5,2,1,19,18,19,13,146.15,0,0,0,1,1
SV Samson,14,14,3,291,60,26.45,259,112.35,0,1,0,20,8
Sandeep Sharma,14,4,4,8,5,0,9,88.88,0,0,0,0,0
PJ Sangwan,2,0,0,0,0,0,0,0,0,0,0,0,0
R Sathish,4,3,0,24,10,8,24,100,0,0,0,1,1
T Shamsi,4,0,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,10,7,2,114,66,22.8,106,107.54,0,1,0,7,5
I Sharma,4,1,1,0,0,0,0,0,0,0,0,0,0
KV Sharma,5,3,3,36,26,0,30,120,0,0,0,3,1
MM Sharma,14,6,2,32,15,8,26,123.07,0,0,0,3,1
RG Sharma,14,14,3,489,85,44.45,368,132.88,0,5,1,49,16
LMP Simmons,1,1,0,8,8,8,8,100,0,0,0,0,1
RP Singh,4,0,0,0,0,0,0,0,0,0,0,0,0
DR Smith,12,12,1,324,73,29.45,221,146.6,0,3,1,35,16
SPD Smith,8,7,1,270,101,45,176,153.4,1,0,0,27,8
TG Southee,11,4,1,30,25,10,19,157.89,0,0,0,1,2
BB Sran,14,4,4,4,2,0,4,100,0,0,0,0,0
DW Steyn,1,1,0,1,1,1,2,50,0,0,0,0,0
MP Stoinis,7,5,1,146,52,36.5,108,135.18,0,1,1,13,4
J Suchith,1,0,0,0,0,0,0,0,0,0,0,0,0
Swapnil Singh,1,1,0,0,0,0,1,0,0,0,1,0,0
PV Tambe,7,1,1,7,7,0,19,36.84,0,0,0,1,0
AP Tare,3,2,0,8,8,4,15,53.33,0,0,1,1,0
SS Tiwary,10,8,1,170,57,24.28,141,120.56,0,2,0,17,4
JD Unadkat,1,0,0,0,0,0,0,0,0,0,0,0,0
RV Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,1,45,8
M Vijay,14,14,1,453,89,34.84,364,124.45,0,5,0,50,10
R Vinay Kumar,3,2,1,13,12,13,12,108.33,0,0,0,0,1
M Vohra,7,7,0,161,51,23,131,122.9,0,1,1,19,3
DA Warner,17,17,3,848,93,60.57,560,151.42,0,9,1,88,31
SR Watson,16,15,2,179,36,13.76,134,133.58,0,0,1,14,12
D Wiese,1,1,1,5,5,0,4,125,0,0,0,0,0
KS Williamson,6,6,0,124,50,20.66,122,101.63,0,1,0,14,0
J Yadav,5,2,0,6,5,3,10,60,0,0,0,0,0
SA Yadav,15,11,4,182,60,26,143,127.27,0,1,0,18,5
UT Yadav,9,2,1,9,7,9,5,180,0,0,0,0,1
Yuvraj Singh,10,10,1,236,44,26.22,179,131.84,0,0,0,22,13
A Zampa,5,1,0,0,0,0,1,0,0,0,1,0,0
