"VR Aaron","2"
"KJ Abbott","6"
"AD Nath","5"
"MA Agarwal","0"
"HM Amla","4"
"Ankit Sharma","0"
"Anureet Singh","2"
"S Aravind","2"
"A Ashish Reddy","6"
"M Ashwin","2"
"R Ashwin","7"
"GJ Bailey","5"
"F Behardien","0"
"R Bhatia","6"
"SW Billings","4"
"STR Binny","6"
"Bipul Sharma","6"
"SM Boland","2"
"TA Boult","2"
"CR Brathwaite","6"
"DJ Bravo","0"
"JJ Bumrah","5"
"JC Buttler","4"
"KC Cariappa","0"
"YS Chahal","2"
"DL Chahar","2"
"UBT Chand","2"
"PP Chawla","7"
"BCJ Cutting","6"
"Q de Kock","4"
"AB de Villiers","1"
"R Dhawan","6"
"S Dhawan","4"
"MS Dhoni","4"
"AB Dinda","2"
"JP Duminy","4"
"F du Plessis","4"
"ER Dwivedi","6"
"JP Faulkner","4"
"AJ Finch","4"
"G Gambhir","4"
"CH Gayle","4"
"S Gopal","2"
"MJ Guptill","7"
"Gurkeerat Singh","4"
"PSP Handscomb","3"
"Harbhajan Singh","7"
"JW Hastings","2"
"TM Head","4"
"MC Henriques","0"
"GB Hogg","2"
"JO Holder","0"
"DJ Hooda","0"
"Imran Tahir","5"
"Iqbal Abdulla","0"
"Ishan Kishan","7"
"SS Iyer","5"
"RA Jadeja","7"
"KM Jadhav","0"
"SB Jakati","3"
"MG Johnson","3"
"CJ Jordan","5"
"KD Karthik","4"
"S Kaushik","2"
"SN Khan","6"
"Z Khan","3"
"UT Khawaja","4"
"V Kohli","1"
"Kuldeep Yadav","2"
"DS Kulkarni","6"
"B Kumar","6"
"P Kumar","5"
"CA Lynn","7"
"MJ McClenaghan","4"
"BB McCullum","4"
"Mandeep Singh","2"
"MR Marsh","5"
"SE Marsh","4"
"GJ Maxwell","4"
"DA Miller","0"
"AF Milne","2"
"A Mishra","3"
"Mohammed Shami","3"
"EJG Morgan","7"
"JA Morkel","6"
"M Morkel","0"
"CH Morris","1"
"C Munro","7"
"Mustafizur Rahman","2"
"S Nadeem","2"
"NS Naik","5"
"KK Nair","4"
"SP Narine","3"
"P Negi","7"
"A Nehra","0"
"NV Ojha","7"
"MK Pandey","4"
"HH Pandya","5"
"KH Pandya","6"
"RR Pant","4"
"Parvez Rasool","0"
"AR Patel","4"
"HV Patel","2"
"PA Patel","7"
"IK Pathan","5"
"YK Pathan","1"
"NLTC Perera","6"
"KP Pietersen","4"
"KA Pollard","4"
"AM Rahane","4"
"KL Rahul","1"
"SK Raina","4"
"AS Rajpoot","2"
"N Rana","4"
"AT Rayudu","4"
"KW Richardson","0"
"AD Russell","6"
"Sachin Baby","4"
"WP Saha","4"
"P Sahu","4"
"SV Samson","7"
"Sandeep Sharma","5"
"PJ Sangwan","2"
"R Sathish","7"
"T Shamsi","2"
"Shakib Al Hasan","7"
"I Sharma","2"
"KV Sharma","0"
"MM Sharma","0"
"RG Sharma","4"
"LMP Simmons","7"
"RP Singh","2"
"DR Smith","4"
"SPD Smith","1"
"TG Southee","6"
"BB Sran","0"
"DW Steyn","3"
"MP Stoinis","4"
"J Suchith","2"
"Swapnil Singh","2"
"PV Tambe","3"
"AP Tare","3"
"SS Tiwary","4"
"JD Unadkat","2"
"RV Uthappa","4"
"M Vijay","4"
"R Vinay Kumar","7"
"M Vohra","4"
"DA Warner","1"
"SR Watson","4"
"D Wiese","0"
"KS Williamson","7"
"J Yadav","3"
"SA Yadav","4"
"UT Yadav","6"
"Yuvraj Singh","4"
"A Zampa","2"
