S Ladda,5,2,1,0,0*,0,9,0,0,0,1,0,0
AR Bawne,1,1,1,12,12*,-,12,100,0,0,0,1,0
VR Aaron,12,3,1,1,1,0.5,8,12.5,0,0,1,0,0
Abhishek Sharma,3,3,2,63,46*,63,33,190.9,0,0,0,3,5
AB Agarkar,15,5,3,19,9*,9.5,22,86.36,0,0,1,1,0
MA Agarwal,21,21,1,355,68,17.75,293,121.16,0,2,1,38,11
CJ Anderson,11,11,4,142,41*,20.28,123,115.44,0,0,1,8,9
Avesh Khan,6,-,-,-,-,-,-,-,-,-,-,-,-
R Bhatia,22,11,1,66,21,6.6,63,104.76,0,0,2,4,4
SW Billings,11,10,0,226,55,22.6,168,134.52,0,2,1,23,5
TR Birt,5,5,0,75,27,15,58,129.31,0,0,0,9,2
J Botha,6,6,0,43,23,7.16,52,82.69,0,0,0,5,1
TA Boult,14,1,0,0,0,0,2,0,0,0,1,0,0
DAJ Bracewell,1,1,1,12,12*,-,9,133.33,0,0,0,1,0
CR Brathwaite,10,8,0,95,34,11.87,53,179.24,0,0,0,8,8
UBT Chand,13,13,0,196,41,15.07,204,96.07,0,0,3,19,7
B Chipli,1,1,0,16,16,16,18,88.88,0,0,0,1,1
DT Christian,4,3,1,26,13,13,33,78.78,0,0,0,0,1
PD Collingwood,8,7,2,203,75*,40.6,156,130.12,0,3,0,9,13
NM Coulter-Nile,17,8,4,29,7*,7.25,32,90.62,0,0,0,3,1
PJ Cummins,12,9,4,77,24,15.4,53,145.28,0,0,0,5,4
CJ Dala,1,-,-,-,-,-,-,-,-,-,-,-,-
Q de Kock,23,23,1,720,108,32.72,534,134.83,1,5,0,89,21
AB de Villiers,28,26,5,671,105*,31.95,572,117.3,1,3,2,51,13
S Dhawan,14,14,5,340,68*,37.77,295,115.25,0,4,1,35,8
TM Dilshan,27,26,4,566,67*,25.72,473,119.66,0,4,3,62,16
AB Dinda,6,1,0,0,0,0,5,0,0,0,1,0,0
JP Duminy,38,35,12,1015,78*,44.13,776,130.79,0,6,0,62,43
AJ Finch,8,8,0,102,30,12.75,97,105.15,0,0,2,11,3
G Gambhir,46,44,4,1182,86,29.55,962,122.86,0,9,2,140,13
CM Gautam,4,4,1,48,30,16,39,123.07,0,0,0,4,1
B Geeves,2,-,-,-,-,-,-,-,-,-,-,-,-
Sunny Gupta,1,1,0,0,0,0,1,0,0,0,1,0,0
MC Henriques,1,1,0,11,11,11,5,220,0,0,0,2,0
JR Hopes,10,8,3,196,55,39.2,158,124.05,0,2,0,22,3
