S Ladda,1,-,-,-,-,-,-,-,-,-,-,-,-
AD Nath,5,4,0,20,12,5,28,71.42,0,0,1,1,0
SS Agarwal,1,-,-,-,-,-,-,-,-,-,-,-,-
Ankit Soni,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1
Basil Thampi,12,5,5,28,13*,-,28,100,0,0,0,1,1
DJ Bravo,15,13,5,99,22*,12.37,82,120.73,0,0,1,11,1
ER Dwivedi,4,2,0,24,19,12,14,171.42,0,0,0,2,2
JP Faulkner,15,11,4,131,32,18.71,116,112.93,0,0,0,11,0
AJ Finch,26,25,3,692,74,31.45,479,144.46,0,7,3,70,30
MS Gony,1,-,-,-,-,-,-,-,-,-,-,-,-
Ishan Kishan,16,15,0,319,61,21.26,247,129.14,0,1,1,34,13
RA Jadeja,27,25,12,349,36*,26.84,290,120.34,0,0,1,27,8
SB Jakati,8,1,1,1,1*,-,2,50,0,0,0,0,0
KD Karthik,30,28,5,696,65,30.26,525,132.57,0,5,2,68,14
S Kaushik,10,2,1,0,0*,0,1,0,0,0,1,0,0
DS Kulkarni,20,6,3,28,10,9.33,18,155.55,0,0,0,3,0
P Kumar,22,9,4,32,15,6.4,35,91.42,0,0,1,3,0
BB McCullum,27,27,0,673,72,24.92,479,140.5,0,3,1,67,34
MM Patel,2,1,0,0,0,0,1,0,0,0,1,0,0
IK Pathan,1,1,0,2,2,2,3,66.66,0,0,0,0,0
SK Raina,29,29,4,841,84,33.64,619,135.86,0,6,0,81,23
JJ Roy,3,3,1,59,31,29.5,40,147.5,0,0,0,9,1
PJ Sangwan,7,3,1,2,1*,1,4,50,0,0,1,0,0
NB Singh,2,-,-,-,-,-,-,-,-,-,-,-,-
DR Smith,24,24,2,563,74,25.59,377,149.33,0,5,3,67,24
DW Steyn,1,1,0,1,1,1,2,50,0,0,0,0,0
PV Tambe,7,1,1,7,7*,-,19,36.84,0,0,0,1,0
Tejas Baroka,1,-,-,-,-,-,-,-,-,-,-,-,-
AJ Tye,6,3,1,53,25,26.5,30,176.66,0,0,0,4,3
