B Akhil,1,1,0,13,13,13,9,144.44,0,0,0,0,1
Y Gnaneswara Rao,2,1,0,19,19,19,17,111.76,0,0,0,3,0
RV Gomez,11,8,3,46,26*,9.2,50,92,0,0,3,4,1
BJ Hodge,14,14,6,285,51*,35.62,236,120.76,0,1,1,26,9
RA Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,0,20,14
KM Jadhav,6,4,1,18,12,6,23,78.26,0,0,1,1,0
DPMD Jayawardene,13,13,0,299,76,23,257,116.34,0,3,0,35,5
M Klinger,4,4,0,73,29,18.25,77,94.8,0,0,0,9,0
VVS Laxman,3,3,0,44,36,14.66,42,104.76,0,0,1,3,2
BB McCullum,13,13,0,357,81,27.46,275,129.81,0,1,2,35,16
M Muralitharan,5,1,1,5,5*,-,8,62.5,0,0,0,0,0
P Parameswaran,5,1,1,1,1*,-,1,100,0,0,0,0,0
PA Patel,14,13,3,202,37*,20.2,183,110.38,0,0,2,25,2
NLTC Perera,4,2,0,23,22,11.5,27,85.18,0,0,0,4,0
RR Powar,5,3,2,11,8*,11,13,84.61,0,0,1,0,0
P Prasanth,1,-,-,-,-,-,-,-,-,-,-,-,-
OA Shah,3,2,0,26,23,13,15,173.33,0,0,0,1,2
RP Singh,14,5,2,2,1*,0.66,4,50,0,0,2,0,0
S Sreesanth,9,3,1,1,1,0.5,9,11.11,0,0,1,0,0
R Vinay Kumar,13,7,1,50,18,8.33,47,106.38,0,0,0,4,1
