Ankit Sharma,8,4,1,41,30,13.66,36,113.88,0,0,1,5,1
Anureet Singh,3,1,1,3,3*,-,4,75,0,0,0,0,0
JC Archer,10,8,3,15,8,3,21,71.42,0,0,3,2,0
SA Asnodkar,20,20,0,423,60,21.15,339,124.77,0,2,3,56,10
S Badree,1,-,-,-,-,-,-,-,-,-,-,-,-
R Bhatia,14,8,2,67,23,11.16,54,124.07,0,0,1,4,3
STR Binny,64,49,16,661,48*,20.03,523,126.38,0,0,6,49,24
J Botha,24,19,8,335,67*,30.45,292,114.72,0,1,0,29,3
JC Buttler,13,13,3,548,95*,54.8,353,155.24,0,5,0,52,21
LA Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,0,11,0
UBT Chand,1,1,0,2,2,2,9,22.22,0,0,0,0,0
A Chandila,12,2,2,4,4*,-,7,57.14,0,0,0,0,0
AA Chavan,13,3,1,12,7*,6,11,109.09,0,0,0,2,0
SD Chitnis,1,1,0,6,6,6,8,75,0,0,0,1,0
P Chopra,1,1,0,8,8,8,6,133.33,0,0,0,2,0
KK Cooper,25,14,5,116,32,12.88,68,170.58,0,0,1,9,8
BCJ Cutting,1,1,0,8,8,8,6,133.33,0,0,0,0,1
P Dogra,9,8,0,107,41,13.37,106,100.94,0,0,1,4,5
AP Dole,3,2,0,34,30,17,22,154.54,0,0,0,3,1
ND Doshi,3,1,0,0,0,0,13,0,0,0,1,0,0
R Dravid,46,45,2,1276,66,29.67,1151,110.86,0,7,0,171,11
JP Faulkner,42,32,15,382,46,22.47,260,146.92,0,0,0,25,23
FY Fazal,12,11,1,183,45,18.3,173,105.78,0,0,1,22,1
AJ Finch,1,1,0,21,21,21,21,100,0,0,0,0,1
S Gopal,11,4,1,50,24,16.66,45,111.11,0,0,1,5,0
SP Goswami,11,6,1,69,24,13.8,67,102.98,0,0,1,4,1
K Gowtham,15,13,4,126,33*,14,64,196.87,0,0,1,9,9
Harmeet Singh,1,-,-,-,-,-,-,-,-,-,-,-,-
SM Harwood,3,2,2,9,6*,-,14,64.28,0,0,0,0,0
T Henderson,2,2,0,11,11,5.5,16,68.75,0,0,1,0,1
BJ Hodge,33,30,12,639,54*,35.5,465,137.41,0,1,0,49,24
GB Hogg,10,3,1,15,13,7.5,16,93.75,0,0,0,1,0
DJ Hooda,14,9,0,151,54,16.77,95,158.94,0,1,0,6,11
Iqbal Abdulla,1,-,-,-,-,-,-,-,-,-,-,-,-
RA Jadeja,27,22,4,430,42,23.88,369,116.53,0,0,2,32,12
AA Jhunjhunwala,13,11,2,183,53*,20.33,166,110.24,0,1,0,16,4
M Kaif,16,14,3,176,34*,16,171,102.92,0,0,0,14,6
