MA Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,1,3,0
Ankit Sharma,4,2,1,28,25,28,18,155.55,0,0,0,2,1
M Ashwin,10,1,0,0,0,0,1,0,0,0,1,0,0
R Ashwin,14,6,4,41,29,20.5,38,107.89,0,0,1,3,1
GJ Bailey,6,5,1,84,34,21,98,85.71,0,0,1,9,2
R Bhatia,13,8,6,50,21,25,37,135.13,0,0,0,1,3
SM Boland,2,-,-,-,-,-,-,-,-,-,-,-,-
DL Chahar,5,1,0,14,14,14,6,233.33,0,0,0,0,2
RD Chahar,3,1,1,3,3*,-,2,150,0,0,0,0,0
DT Christian,13,9,4,79,17*,15.8,49,161.22,0,0,0,5,5
MS Dhoni,30,27,9,574,64*,31.88,460,124.78,0,2,0,33,30
AB Dinda,12,1,0,7,7,7,7,100,0,0,0,1,0
F du Plessis,8,7,0,214,69,30.57,169,126.62,0,2,0,18,9
LH Ferguson,4,1,1,1,1*,-,1,100,0,0,0,0,0
PSP Handscomb,2,1,0,6,6,6,12,50,0,0,0,0,0
Imran Tahir,12,1,1,0,0*,-,2,0,0,0,0,0,0
UT Khawaja,6,6,0,127,30,21.16,100,127,0,0,0,14,3
MR Marsh,3,1,0,7,7,7,11,63.63,0,0,0,0,0
JA Morkel,2,1,0,16,16,16,9,177.77,0,0,0,0,2
IK Pathan,4,3,0,11,7,3.66,13,84.61,0,0,0,0,0
NLTC Perera,12,10,3,150,34,21.42,93,161.29,0,0,0,7,11
KP Pietersen,4,4,2,73,37,36.5,61,119.67,0,0,0,4,3
AM Rahane,30,30,4,862,74,33.15,702,122.79,0,8,4,89,18
I Sharma,4,1,1,0,0*,-,0,-,0,0,0,0,0
RP Singh,4,-,-,-,-,-,-,-,-,-,-,-,-
SPD Smith,23,22,4,742,101,41.22,563,131.79,1,3,0,65,20
BA Stokes,12,11,1,316,103*,31.6,221,142.98,1,1,0,22,15
SN Thakur,12,3,0,0,0,0,3,0,0,0,3,0,0
MK Tiwary,15,13,3,324,60,32.4,236,137.28,0,2,1,31,11
SS Tiwary,10,8,1,170,57,24.28,141,120.56,0,2,0,17,4
RA Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,1,43,17
JD Unadkat,12,2,2,2,2*,-,5,40,0,0,0,0,0
Washington Sundar,11,5,4,9,5*,9,12,75,0,0,1,0,0
A Zampa,11,2,0,5,5,2.5,8,62.5,0,0,1,1,0
