player_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,duckes_scored,boundary_fours,boundary_sixes
P Amarnath,6,-,-,-,-,-,-,-,-,-,-,-,-
S Anirudha,19,12,5,133,64,19,108,123.14,0,1,2,9,7
KB Arun Karthik,1,1,1,3,3*,-,5,60,0,0,0,0,0
R Ashwin,97,31,11,190,23,9.5,202,94.05,0,0,3,19,1
KM Asif,2,-,-,-,-,-,-,-,-,-,-,-,-
S Badree,4,-,-,-,-,-,-,-,-,-,-,-,-
S Badrinath,95,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28
GJ Bailey,4,3,0,63,30,21,66,95.45,0,0,0,9,0
L Balaji,29,8,2,22,15,3.66,34,64.7,0,0,3,1,1
SW Billings,10,8,0,108,56,13.5,78,138.46,0,1,1,8,5
DE Bollinger,27,4,3,21,16*,21,23,91.3,0,0,0,1,1
DJ Bravo,77,55,25,847,68,28.23,618,137.05,0,2,2,62,40
DL Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,1,4
MS Dhoni,145,131,49,3442,79*,41.97,2446,140.71,0,18,3,242,156
F du Plessis,51,45,4,1243,73,30.31,972,127.88,0,7,2,109,35
SP Fleming,10,10,1,196,45,21.77,165,118.78,0,0,1,27,3
A Flintoff,3,3,1,62,24,31,53,116.98,0,0,0,5,2
C Ganapathy,1,1,1,0,0*,-,0,-,0,0,0,0,0
MS Gony,26,9,5,50,15*,12.5,36,138.88,0,0,0,2,5
Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,0,3,1
JW Hastings,1,-,-,-,-,-,-,-,-,-,-,-,-
ML Hayden,32,32,2,1107,93,36.9,805,137.51,0,8,1,121,44
BW Hilfenhaus,17,1,1,0,0*,-,0,-,0,0,0,0,0
JO Holder,6,-,-,-,-,-,-,-,-,-,-,-,-
DJ Hussey,5,4,2,116,50*,58,94,123.4,0,1,0,8,6
MEK Hussey,50,49,7,1768,116*,42.09,1430,123.63,1,13,1,181,45
Imran Tahir,6,1,1,2,2*,-,2,100,0,0,0,0,0
RA Jadeja,86,60,23,759,48,20.51,596,127.34,0,0,3,49,27
KM Jadhav,1,1,1,24,24*,-,22,109.09,0,0,0,1,2
SB Jakati,50,7,6,27,13,27,27,100,0,0,0,3,0
Joginder Sharma,16,6,2,36,16*,9,30,120,0,0,2,1,2
S Randiv,8,1,0,2,2,2,4,50,0,0,0,0,0
CK Kapugedera,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0
JM Kemp,5,2,0,26,22,13,24,108.33,0,0,0,1,1
KMDN Kulasekara,6,1,1,5,5*,-,3,166.66,0,0,0,1,0
B Laughlin,2,2,1,4,4*,4,9,44.44,0,0,1,0,0
BB McCullum,28,28,2,841,100*,32.34,613,137.19,1,5,0,83,42
VY Mahesh,5,-,-,-,-,-,-,-,-,-,-,-,-
M Manhas,12,5,3,35,13*,17.5,23,152.17,0,0,0,3,1
RG More,2,1,1,2,2*,-,2,100,0,0,0,0,0
JA Morkel,78,59,24,827,71,23.62,571,144.83,0,2,3,51,48
CH Morris,16,6,4,14,7*,7,16,87.5,0,0,1,0,0
A Mukund,2,1,0,0,0,0,1,0,0,0,1,0,0
M Muralitharan,40,6,2,9,4,2.25,13,69.23,0,0,1,1,0
DP Nannes,5,1,1,0,0*,-,0,-,0,0,0,0,0
P Negi,12,9,1,116,36,14.5,73,158.9,0,0,0,10,5
A Nehra,20,4,3,1,1*,1,7,14.28,0,0,1,0,0
L Ngidi,7,-,-,-,-,-,-,-,-,-,-,-,-
M Ntini,9,2,1,11,11,11,18,61.11,0,0,0,2,0
