player_name,batting_average,strike_rate
A Ashish Reddy,18.67,145.08
A Chandila,,57.14
A Chopra,8.83,74.65
A Choudhary,25,125
A Dananjaya,,80
A Flintoff,31,116.98
A Kumble,11.67,74.47
A Mishra,11.76,93.42
A Mithun,6.8,130.77
A Mukund,9.5,86.36
A Nehra,5.86,66.13
A Nel,0,
A Singh,0.5,20
A Symonds,36.07,129.87
A Uniyal,4,57.14
A Zampa,2.5,62.5
AA Bilakhia,13.8,81.18
AA Chavan,6,109.09
AA Jhunjhunwala,16.69,103.33
AA Noffke,9,90
AB Agarkar,17.9,116.23
AB Barath,21,100
AB Dinda,2.6,54.17
AB McDonald,24.6,123
AB de Villiers,39.53,150.94
AC Blizzard,17.14,133.33
AC Gilchrist,27.22,138.39
AC Thomas,10,105.26
AC Voges,45.25,126.57
AD Hales,24.67,125.42
AD Mascarenhas,8.78,101.28
AD Mathews,23.35,125.91
AD Nath,5.8,70.73
AD Russell,26.97,177.29
AF Milne,3.5,58.33
AG Murtaza,10,71.43
AG Paunikar,9.8,84.48
AJ Finch,26.32,130.7
AJ Tye,10.63,125
AL Menaria,19.1,112.64
AM Nayar,17.68,116.46
AM Rahane,32.95,120.33
AN Ahmed,36,138.46
AN Ghosh,3.5,87.5
AP Dole,17,154.55
AP Majumdar,21.75,114.47
AP Tare,14.13,124.18
AR Bawne,,100
AR Patel,19.06,126.57
AS Rajpoot,4.25,54.84
AS Raut,21.56,116.17
AS Yadav,9.8,125.64
AT Rayudu,29.3,130.25
AUK Pathan,7.8,169.57
Abdur Razzak,,0
Abhishek Sharma,63,190.91
Anirudh Singh,15.75,95.45
Ankit Sharma,12.43,129.85
Ankit Soni,3.5,77.78
Anureet Singh,9,76.6
Azhar Mahmood,20.42,128.05
B Akhil,12.67,138.18
B Chipli,18.67,111.55
B Kumar,8.14,98.84
B Laughlin,2.5,38.46
B Lee,12.4,127.84
B Stanlake,,250
B Sumanth,35,94.59
BA Bhatt,6,85.71
BA Stokes,23.27,134.03
BAW Mendis,1.5,50
BB McCullum,27.69,131.75
BB Samantray,25,110.62
BB Sran,7,63.64
BCJ Cutting,24.44,177.42
BE Hendricks,1,33.33
BJ Haddin,18,163.64
BJ Hodge,33.33,125.22
BJ Rohrer,32.17,137.86
BMAJ Mendis,7.67,85.19
BR Dunk,13.33,114.29
BW Hilfenhaus,,
Basil Thampi,31,91.18
Bipul Sharma,23.38,152.03
C Ganapathy,,
C Madan,15,78.95
C Munro,11.63,130.99
C Nanda,0,0
C de Grandhomme,19.77,146.02
