id,player_name,batting_average,strike_rate
1,A Ashish Reddy,18.67,145.08
2,A Chandila,,57.14
3,A Chopra,8.83,74.65
4,A Choudhary,25,125
5,A Dananjaya,,80
6,A Flintoff,31,116.98
7,A Kumble,11.67,74.47
8,A Mishra,11.76,93.42
9,A Mithun,6.8,130.77
10,A Mukund,9.5,86.36
11,A Nehra,5.86,66.13
12,A Nel,0,
13,A Singh,0.5,20
14,A Symonds,36.07,129.87
15,A Uniyal,4,57.14
16,A Zampa,2.5,62.5
17,AA Bilakhia,13.8,81.18
18,AA Chavan,6,109.09
19,AA Jhunjhunwala,16.69,103.33
20,AA Noffke,9,90
21,AB Agarkar,17.9,116.23
22,AB Barath,21,100
23,AB Dinda,2.6,54.17
24,AB McDonald,24.6,123
25,AB de Villiers,39.53,150.94
26,AC Blizzard,17.14,133.33
27,AC Gilchrist,27.22,138.39
28,AC Thomas,10,105.26
29,AC Voges,45.25,126.57
30,AD Hales,24.67,125.42
31,AD Mascarenhas,8.78,101.28
32,AD Mathews,23.35,125.91
33,AD Nath,5.8,70.73
34,AD Russell,26.97,177.29
35,AF Milne,3.5,58.33
36,AG Murtaza,10,71.43
37,AG Paunikar,9.8,84.48
38,AJ Finch,26.32,130.7
39,AJ Tye,10.63,125
40,AL Menaria,19.1,112.64
41,AM Nayar,17.68,116.46
42,AM Rahane,32.95,120.33
43,AN Ahmed,36,138.46
44,AN Ghosh,3.5,87.5
45,AP Dole,17,154.55
46,AP Majumdar,21.75,114.47
47,AP Tare,14.13,124.18
48,AR Bawne,,100
49,AR Patel,19.06,126.57
50,AS Rajpoot,4.25,54.84
51,AS Raut,21.56,116.17
52,AS Yadav,9.8,125.64
53,AT Rayudu,29.3,130.25
54,AUK Pathan,7.8,169.57
55,Abdur Razzak,,0
56,Abhishek Sharma,63,190.91
57,Anirudh Singh,15.75,95.45
58,Ankit Sharma,12.43,129.85
59,Ankit Soni,3.5,77.78
60,Anureet Singh,9,76.6
61,Azhar Mahmood,20.42,128.05
62,B Akhil,12.67,138.18
63,B Chipli,18.67,111.55
64,B Kumar,8.14,98.84
