id,batting_average,strike_rate
1,18.67,145.08
2,,57.14
3,8.83,74.65
4,25,125
5,,80
6,31,116.98
7,11.67,74.47
8,11.76,93.42
9,6.8,130.77
10,9.5,86.36
11,5.86,66.13
12,0,
13,0.5,20
14,36.07,129.87
15,4,57.14
16,2.5,62.5
17,13.8,81.18
18,6,109.09
19,16.69,103.33
20,9,90
21,17.9,116.23
22,21,100
23,2.6,54.17
24,24.6,123
25,39.53,150.94
26,17.14,133.33
27,27.22,138.39
28,10,105.26
29,45.25,126.57
30,24.67,125.42
31,8.78,101.28
32,23.35,125.91
33,5.8,70.73
34,26.97,177.29
35,3.5,58.33
36,10,71.43
37,9.8,84.48
38,26.32,130.7
39,10.63,125
40,19.1,112.64
41,17.68,116.46
42,32.95,120.33
43,36,138.46
44,3.5,87.5
45,17,154.55
46,21.75,114.47
47,14.13,124.18
48,,100
49,19.06,126.57
50,4.25,54.84
51,21.56,116.17
52,9.8,125.64
53,29.3,130.25
54,7.8,169.57
55,,0
56,63,190.91
57,15.75,95.45
58,12.43,129.85
59,3.5,77.78
60,9,76.6
61,20.42,128.05
62,12.67,138.18
63,18.67,111.55
64,8.14,98.84
65,2.5,38.46
66,12.4,127.84
67,,250
68,35,94.59
69,6,85.71
70,23.27,134.03
71,1.5,50
72,27.69,131.75
73,25,110.62
74,7,63.64
75,24.44,177.42
76,1,33.33
77,18,163.64
78,33.33,125.22
79,32.17,137.86
80,7.67,85.19
81,13.33,114.29
82,,
83,31,91.18
84,23.38,152.03
85,,
86,15,78.95
87,11.63,130.99
88,0,0
89,19.77,146.02
90,10.5,80.77
91,35,141.13
92,20.53,99.74
93,41.18,150.72
94,37.31,166.67
95,24.45,127.19
96,16.33,83.76
97,1.5,60
98,8,53.33
99,5.33,69.57
100,4,88.89
101,26.5,126.36
102,16.9,112.67
103,15.45,168.32
104,10.5,95.45
105,,133.33
106,3,37.5
107,16.5,137.5
108,31.75,141.11
109,10,76.92
110,35.59,140.03
111,40.55,142.14
112,,133.33
113,21.71,116.48
114,19.74,118.3
115,21,91.3
116,17,124.09
117,23.78,128.72
118,27.75,109.9
119,15.33,131.81
120,26.98,122.98
121,13.14,93.88
122,1,33.33
123,19.5,73.58
124,19.67,122.41
125,16.43,116.16
126,16,182.86
127,15.13,107.08
128,,120
129,11,122.22
130,4,30.77
131,,100
132,28.6,123.26
133,19,79.17
134,8,88.89
135,28.39,135.2
136,10.67,93.2
137,9,100
138,17.84,119.25
139,6.5,100
140,7.55,105.06
141,29.38,138.41
142,21.35,121.13
143,12,171.43
144,7,107.69
145,30.35,127.7
146,4,80
147,18.3,105.78
148,31.01,123.88
149,7.33,100
150,28.42,110.63
151,4,80
152,15.56,89.46
153,24.56,121.88
154,22.9,161.13
155,15,93.75
156,16.29,125.74
157,2,40
158,19,121.28
159,27.69,109.79
160,23.79,138.75
161,44.38,141.77
162,10.7,159.7
163,15.92,138.69
164,4.5,150
165,10,76.92
166,,175
167,7.5,77.59
168,0,0
169,21.49,120.4
170,15.2,78.35
171,1,16.67
172,5,74.07
173,44,104.76
174,22,137.82
175,7.67,100
176,20.45,113.93
177,48,150
178,14.5,111.54
179,5,83.33
180,3,60
181,24.35,141.98
182,3,71.43
183,34.68,150.56
184,21.57,131.88
185,10.8,105.88
186,13.25,98.15
187,14,91.3
188,3,100
189,29.73,108.64
190,28.55,109.23
191,11.67,94.59
192,29.83,133.58
193,9,112.5
194,13,108.33
195,7.6,122.58
196,39.78,124.02
197,21.08,135.48
198,8,133.33
199,26.06,136.27
200,8,72.73
201,9,120
202,14.53,94.37
203,14,196.88
204,18.33,85.94
205,,133.33
206,28.14,145.73
207,10,111.11
208,10.2,100
209,5,83.33
210,25.95,121.19
211,26.78,128.73
212,30.78,153.91
213,13,162.5
214,12.89,170.59
215,25.16,128.77
216,38.44,139.38
217,24.13,134.06
218,,166.67
219,2,50
220,37.07,134.72
221,42.44,137.41
222,15.1,115.69
223,12,92.31
224,25.6,164.1
225,3,60
226,12,70.59
227,10.67,69.57
228,,0
229,4.5,73.47
230,6.8,100
231,20.25,119.12
232,27.45,122.76
233,1,33.33
234,,100
235,21.2,176.67
236,39.96,126.64
237,20,153.85
238,15,115.71
239,25.43,123.72
240,0.5,33.33
241,14.39,103.6
242,16.14,104.63
243,18.25,94.81
244,22.35,109.36
245,10.5,87.5
246,11.45,140
247,3.33,66.67
248,11,61.11
249,,20
250,11,79.71
251,26.28,123.37
252,23.53,131.77
253,1,50
254,16.68,123.87
255,12,109.09
256,13.71,97.96
257,1,33.33
258,28.5,128.17
259,17.86,97.66
260,14.81,113.94
261,7,107.69
262,38.76,122.64
263,17.7,143.9
264,12.85,101.83
265,16.33,104.26
266,21,132.17
267,23.17,143.3
268,7.4,137.04
269,20,95.24
270,28.08,119.57
271,28.73,116.98
272,36.9,137.52
273,19.25,167.39
274,6.5,95.12
275,8.13,106.09
276,12.38,93.6
277,55.67,126.52
278,23.82,125.96
279,18.75,114.8
280,21,113.68
281,40.16,138.2
282,9.9,139.44
283,7.33,66.67
284,28.14,127.51
285,20.98,123.33
286,,100
287,16.71,144.44
288,2,20
289,1.5,50
290,9.14,77.11
291,6.67,133.33
292,6.63,103.92
293,12.5,113.64
294,10,142.86
295,1,33.33
296,27.44,129.77
297,14,99.29
298,0,0
299,6.67,95.24
300,,100
301,30.25,101.68
302,26,118.18
303,19.18,137.46
304,6.5,104
