S Ladda,5,5,15,0,143,4,2/44,35.75,9.53,22.5,0,0,0,0
AR Bawne,1,-,-,-,-,-,-,-,-,-,-,-,0,0
VR Aaron,12,11,43,0,353,10,2/19,35.3,8.2,25.8,0,0,1,0
Abhishek Sharma,3,-,-,-,-,-,-,-,-,-,-,-,1,0
AB Agarkar,15,15,51.2,0,457,11,2/23,41.54,8.9,28,0,0,3,0
MA Agarwal,21,-,-,-,-,-,-,-,-,-,-,-,4,0
CJ Anderson,11,8,18.5,0,186,3,1/23,62,9.87,37.6,0,0,5,0
Avesh Khan,6,6,19,0,204,4,2/29,51,10.73,28.5,0,0,3,0
R Bhatia,22,21,59.4,0,461,19,4/15,24.26,7.72,18.8,1,0,6,0
SW Billings,11,-,-,-,-,-,-,-,-,-,-,-,7,0
TR Birt,5,-,-,-,-,-,-,-,-,-,-,-,0,0
J Botha,6,6,16.4,0,109,5,2/11,21.8,6.54,20,0,0,5,0
TA Boult,14,14,52.4,1,466,18,2/20,25.88,8.84,17.5,0,0,9,0
DAJ Bracewell,1,1,4,0,32,3,3/32,10.66,8,8,0,0,1,0
CR Brathwaite,10,10,29.1,0,256,8,3/47,32,8.77,21.8,0,0,3,0
UBT Chand,13,-,-,-,-,-,-,-,-,-,-,-,5,0
B Chipli,1,-,-,-,-,-,-,-,-,-,-,-,0,0
DT Christian,4,4,11.5,0,101,4,2/35,25.25,8.53,17.7,0,0,0,0
PD Collingwood,8,6,14.5,0,101,5,2/19,20.2,6.8,17.8,0,0,4,0
NM Coulter-Nile,17,16,61.3,1,462,20,4/20,23.1,7.51,18.4,1,0,5,0
PJ Cummins,12,12,46.1,0,373,15,2/20,24.86,8.07,18.4,0,0,1,0
CJ Dala,1,1,3,0,34,0,-,-,11.33,-,0,0,0,0
Q de Kock,23,-,-,-,-,-,-,-,-,-,-,-,4,2
AB de Villiers,28,-,-,-,-,-,-,-,-,-,-,-,22,0
S Dhawan,14,-,-,-,-,-,-,-,-,-,-,-,8,0
TM Dilshan,27,13,25.1,0,171,4,1/3,42.75,6.79,37.7,0,0,13,0
AB Dinda,6,5,17,0,152,5,2/42,30.4,8.94,20.4,0,0,0,0
JP Duminy,38,25,57,0,421,13,4/17,32.38,7.38,26.3,1,0,13,0
AJ Finch,8,1,2,0,13,0,-,-,6.5,-,0,0,4,0
G Gambhir,46,-,-,-,-,-,-,-,-,-,-,-,8,0
CM Gautam,4,-,-,-,-,-,-,-,-,-,-,-,0,1
B Geeves,2,2,8,0,91,1,1/50,91,11.37,48,0,0,3,0
Sunny Gupta,1,1,3,0,47,0,-,-,15.66,-,0,0,0,0
MC Henriques,1,1,4,0,35,1,1/35,35,8.75,24,0,0,1,0
JR Hopes,10,9,32,0,272,7,1/25,38.85,8.5,27.4,0,0,3,0
Imran Tahir,20,20,72.2,0,623,29,4/28,21.48,8.61,14.9,1,0,3,0
CA Ingram,3,-,-,-,-,-,-,-,-,-,-,-,0,0
SS Iyer,46,-,-,-,-,-,-,-,-,-,-,-,14,0
KM Jadhav,41,-,-,-,-,-,-,-,-,-,-,-,13,4
DPMD Jayawardene,31,-,-,-,-,-,-,-,-,-,-,-,10,0
MC Juneja,7,-,-,-,-,-,-,-,-,-,-,-,0,0
KD Karthik,56,-,-,-,-,-,-,-,-,-,-,-,31,15
S Kaul,11,11,34.5,2,296,6,2/27,49.33,8.49,34.8,0,0,1,0
Z Khan,30,30,108,2,806,27,3/20,29.85,7.46,24,0,0,4,0
S Lamichhane,3,3,12,0,82,5,3/36,16.4,6.83,14.4,0,0,0,0
AB McDonald,6,6,19,0,183,5,2/37,36.6,9.63,22.8,0,0,0,0
GD McGrath,14,14,54,2,357,12,4/29,29.75,6.61,27,1,0,2,0
MF Maharoof,20,20,70,0,520,27,3/34,19.25,7.42,15.5,0,0,4,0
VY Mahesh,13,13,47.1,0,418,18,4/36,23.22,8.86,15.7,1,0,5,0
M Manhas,20,-,-,-,-,-,-,-,-,-,-,-,8,0
