Ankit Sharma,8,7,23,0,168,7,2/20,24,7.3,19.7,0,0,2,0
Anureet Singh,3,3,4,0,42,1,1/20,42,10.5,24,0,0,1,0
JC Archer,10,10,38.5,0,325,15,3/22,21.66,8.36,15.5,0,0,1,0
SA Asnodkar,20,-,-,-,-,-,-,-,-,-,-,-,6,0
S Badree,1,1,4,0,34,0,-,-,8.5,-,0,0,0,0
R Bhatia,14,14,43,0,329,12,3/23,27.41,7.65,21.5,0,0,5,0
STR Binny,64,42,68,0,521,16,2/14,32.56,7.66,25.5,0,0,15,0
J Botha,24,24,89,0,610,19,3/6,32.1,6.85,28.1,0,0,9,0
JC Buttler,13,-,-,-,-,-,-,-,-,-,-,-,9,1
LA Carseldine,5,1,1,0,6,1,1/6,6,6,6,0,0,4,0
UBT Chand,1,-,-,-,-,-,-,-,-,-,-,-,0,0
A Chandila,12,12,39,0,242,11,4/13,22,6.2,21.2,1,0,7,0
AA Chavan,13,13,41.2,0,326,8,2/23,40.75,7.88,31,0,0,3,0
SD Chitnis,1,-,-,-,-,-,-,-,-,-,-,-,0,0
P Chopra,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KK Cooper,25,25,96,1,757,33,4/26,22.93,7.88,17.4,1,0,12,0
BCJ Cutting,1,1,4,0,31,1,1/31,31,7.75,24,0,0,1,0
P Dogra,9,-,-,-,-,-,-,-,-,-,-,-,2,0
AP Dole,3,3,11,0,112,5,2/36,22.4,10.18,13.2,0,0,2,0
ND Doshi,3,3,5.2,0,62,1,1/15,62,11.62,32,0,0,0,0
R Dravid,46,-,-,-,-,-,-,-,-,-,-,-,10,0
JP Faulkner,42,42,151.1,3,1272,47,5/16,27.06,8.41,19.2,0,2,9,0
FY Fazal,12,2,2,0,20,0,-,-,10,-,0,0,6,0
AJ Finch,1,1,1.1,0,5,0,-,-,4.28,-,0,0,0,0
S Gopal,11,10,31,0,236,11,4/16,21.45,7.61,16.9,1,0,3,0
SP Goswami,11,-,-,-,-,-,-,-,-,-,-,-,4,4
K Gowtham,15,15,40,0,312,11,2/12,28.36,7.8,21.8,0,0,10,0
Harmeet Singh,1,1,4,0,34,1,1/34,34,8.5,24,0,0,0,0
SM Harwood,3,3,10,0,73,3,2/25,24.33,7.3,20,0,0,2,0
T Henderson,2,2,6,0,40,1,1/30,40,6.66,36,0,0,0,0
BJ Hodge,33,3,3,0,24,1,1/13,24,8,18,0,0,15,0
GB Hogg,10,10,39.2,0,284,10,2/31,28.4,7.22,23.6,0,0,1,0
DJ Hooda,14,7,15.1,0,129,1,1/35,129,8.5,91,0,0,1,0
Iqbal Abdulla,1,1,2,0,17,0,-,-,8.5,-,0,0,1,0
RA Jadeja,27,12,25.3,0,172,6,3/15,28.66,6.74,25.5,0,0,11,0
AA Jhunjhunwala,13,5,6.1,0,69,0,-,-,11.18,-,0,0,4,0
M Kaif,16,-,-,-,-,-,-,-,-,-,-,-,8,0
Kamran Akmal,6,-,-,-,-,-,-,-,-,-,-,-,5,4
Kamran Khan,8,8,23.4,0,177,9,3/18,19.66,7.47,15.7,0,0,4,0
H Klaasen,4,-,-,-,-,-,-,-,-,-,-,-,3,4
T Kohli,2,-,-,-,-,-,-,-,-,-,-,-,1,0
DS Kulkarni,27,27,81.5,2,686,23,2/9,29.82,8.38,21.3,0,0,8,0
B Laughlin,7,7,20.5,0,211,9,2/15,23.44,10.12,13.8,0,0,1,0
DS Lehmann,2,-,-,-,-,-,-,-,-,-,-,-,0,0
MK Lomror,2,2,3,0,27,0,-,-,9,-,0,0,0,0
MJ Lumb,11,-,-,-,-,-,-,-,-,-,-,-,4,0
VS Malik,4,4,13,0,88,3,2/14,29.33,6.76,26,0,0,1,0
DR Martyn,1,-,-,-,-,-,-,-,-,-,-,-,0,0
AD Mascarenhas,8,8,31.2,1,226,12,3/20,18.83,7.21,15.6,0,0,1,0
AL Menaria,29,12,18.2,0,144,3,2/20,48,7.85,36.6,0,0,5,0
M Morkel,4,4,14,0,106,0,-,-,7.57,-,0,0,2,0
CH Morris,11,11,42,0,311,13,4/23,23.92,7.4,19.3,1,0,3,0
KK Nair,25,-,-,-,-,-,-,-,-,-,-,-,7,0
S Narwal,5,5,15.4,0,185,5,3/36,37,11.8,18.8,0,0,1,0
AM Nayar,5,-,-,-,-,-,-,-,-,-,-,-,1,0
NV Ojha,22,-,-,-,-,-,-,-,-,-,-,-,6,6
JDP Oram,2,2,4,0,45,1,1/32,45,11.25,24,0,0,0,0
Pankaj Singh,12,12,35,0,322,7,2/18,46,9.2,30,0,0,1,0
MM Patel,30,30,102.5,2,779,33,3/17,23.6,7.57,18.6,0,0,7,0
NK Patel,9,-,-,-,-,-,-,-,-,-,-,-,6,0
YK Pathan,43,35,97.1,0,719,20,3/22,35.95,7.39,29.1,0,0,14,0
AG Paunikar,5,-,-,-,-,-,-,-,-,-,-,-,1,0
MDKJ Perera,2,-,-,-,-,-,-,-,-,-,-,-,0,0
RJ Quiney,7,-,-,-,-,-,-,-,-,-,-,-,1,0
AM Rahane,86,-,-,-,-,-,-,-,-,-,-,-,35,0
AS Raut,22,5,5,0,44,0,-,-,8.8,-,0,0,9,0
M Rawat,16,-,-,-,-,-,-,-,-,-,-,-,15,1
KW Richardson,7,7,27,0,206,9,2/18,22.88,7.62,18,0,0,3,0
Sachin Baby,4,-,-,-,-,-,-,-,-,-,-,-,2,0
D Salunkhe,6,5,8,0,78,1,1/21,78,9.75,48,0,0,2,0
SV Samson,53,-,-,-,-,-,-,-,-,-,-,-,32,2
OA Shah,15,-,-,-,-,-,-,-,-,-,-,-,5,0
