MA Agarwal,3,-,-,-,-,-,-,-,-,-,-,-,1,0
Ankit Sharma,4,4,12,0,100,1,1/27,100,8.33,72,0,0,1,0
M Ashwin,10,10,28.3,0,241,7,3/36,34.42,8.45,24.4,0,0,0,0
R Ashwin,14,14,44,0,319,10,4/34,31.9,7.25,26.4,1,0,3,0
GJ Bailey,6,-,-,-,-,-,-,-,-,-,-,-,2,0
R Bhatia,13,13,41,1,299,8,2/14,37.37,7.29,30.7,0,0,4,0
SM Boland,2,2,7,0,54,2,2/31,27,7.71,21,0,0,0,0
DL Chahar,5,5,12,0,115,1,1/35,115,9.58,72,0,0,1,0
RD Chahar,3,2,7,0,58,2,1/26,29,8.28,21,0,0,1,0
DT Christian,13,13,40,0,298,11,2/10,27.09,7.45,21.8,0,0,6,0
MS Dhoni,30,-,-,-,-,-,-,-,-,-,-,-,18,7
AB Dinda,12,12,40.3,2,350,12,3/20,29.16,8.64,20.2,0,0,0,0
F du Plessis,8,-,-,-,-,-,-,-,-,-,-,-,4,0
LH Ferguson,4,4,13,1,93,3,2/7,31,7.15,26,0,0,0,0
PSP Handscomb,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Imran Tahir,12,12,47,0,369,18,3/18,20.5,7.85,15.6,0,0,2,0
UT Khawaja,6,-,-,-,-,-,-,-,-,-,-,-,1,0
MR Marsh,3,3,9,0,45,4,2/14,11.25,5,13.5,0,0,0,0
JA Morkel,2,2,5,0,66,2,2/36,33,13.2,15,0,0,1,0
IK Pathan,4,3,8,0,61,0,-,-,7.62,-,0,0,1,0
NLTC Perera,12,11,33.1,0,326,9,3/34,36.22,9.82,22.1,0,0,5,0
KP Pietersen,4,-,-,-,-,-,-,-,-,-,-,-,1,0
AM Rahane,30,-,-,-,-,-,-,-,-,-,-,-,13,0
I Sharma,4,4,15,0,148,3,2/36,49.33,9.86,30,0,0,2,0
RP Singh,4,4,12,0,111,3,1/23,37,9.25,24,0,0,0,0
SPD Smith,23,-,-,-,-,-,-,-,-,-,-,-,9,0
BA Stokes,12,12,44,1,316,12,3/18,26.33,7.18,22,0,0,5,0
SN Thakur,12,12,38.1,0,315,11,3/19,28.63,8.25,20.8,0,0,4,0
MK Tiwary,15,-,-,-,-,-,-,-,-,-,-,-,6,0
SS Tiwary,10,-,-,-,-,-,-,-,-,-,-,-,4,0
RA Tripathi,14,1,1,0,12,0,-,-,12,-,0,0,5,0
JD Unadkat,12,12,45.5,3,322,24,5/30,13.41,7.02,11.4,0,1,9,0
Washington Sundar,11,10,30,0,185,8,3/16,23.12,6.16,22.5,0,0,5,0
A Zampa,11,11,36.5,0,278,19,6/19,14.63,7.54,11.6,0,1,0,0
