VR Aaron,24,23,77.4,1,703,21,3/16,33.47,9.05,22.1,0,0,1,0
SA Abbott,2,2,5,0,57,0,-,-,11.4,-,0,0,0,0
Abdur Razzak,1,1,2,0,29,0,-,-,14.5,-,0,0,0,0
MA Agarwal,29,-,-,-,-,-,-,-,-,-,-,-,15,0
AN Ahmed,7,7,26.2,0,241,4,1/18,60.25,9.15,39.5,0,0,0,0
B Akhil,14,12,29.2,0,220,6,2/17,36.66,7.5,29.3,0,0,3,0
MM Ali,5,5,13.1,0,97,3,1/13,32.33,7.36,26.3,0,0,2,0
CJ Anderson,3,3,8.4,0,115,3,2/47,38.33,13.26,17.3,0,0,0,0
KP Appanna,14,13,36,0,286,9,4/19,31.77,7.94,24,1,0,1,0
S Aravind,38,38,126.4,0,1039,45,4/14,23.08,8.2,16.8,2,0,8,0
KB Arun Karthik,16,-,-,-,-,-,-,-,-,-,-,-,11,2
J Arunkumar,3,-,-,-,-,-,-,-,-,-,-,-,0,0
M Ashwin,2,2,7,0,53,3,2/36,17.66,7.57,14,0,0,0,0
Avesh Khan,1,1,4,0,23,1,1/23,23,5.75,24,0,0,0,0
S Badree,7,7,25,1,188,9,4/9,20.88,7.52,16.6,1,0,2,0
RR Bhatkal,1,1,2,0,35,0,-,-,17.5,-,0,0,1,0
STR Binny,22,15,23,0,184,5,1/9,36.8,8,27.6,0,0,4,0
R Bishnoi,3,-,-,-,-,-,-,-,-,-,-,-,1,0
MS Bisla,2,-,-,-,-,-,-,-,-,-,-,-,1,0
MV Boucher,27,-,-,-,-,-,-,-,-,-,-,-,13,3
YS Chahal,69,68,244.3,2,1898,82,4/25,23.14,7.76,17.8,1,0,16,0
S Chanderpaul,3,-,-,-,-,-,-,-,-,-,-,-,0,0
B Chipli,3,-,-,-,-,-,-,-,-,-,-,-,1,0
A Choudhary,5,5,16.5,2,144,5,2/17,28.8,8.55,20.2,0,0,0,0
DT Christian,2,2,6,0,55,0,-,-,9.16,-,0,0,0,0
C de Grandhomme,9,7,15,0,129,2,1/8,64.5,8.6,45,0,0,3,0
Q de Kock,8,-,-,-,-,-,-,-,-,-,-,-,7,3
AB de Villiers,113,-,-,-,-,-,-,-,-,-,-,-,65,7
TM Dilshan,25,12,20,0,195,1,1/30,195,9.75,120,0,0,7,0
AB Dinda,11,11,36,0,332,5,1/14,66.4,9.22,43.2,0,0,1,0
ND Doshi,1,1,4,0,17,1,1/17,17,4.25,24,0,0,0,0
R Dravid,43,-,-,-,-,-,-,-,-,-,-,-,8,0
D du Preez,2,2,7,1,56,4,3/32,14,8,10.5,0,0,0,0
CH Gayle,85,24,56.4,0,428,13,3/21,32.92,7.55,26.1,0,0,16,0
SP Goswami,7,-,-,-,-,-,-,-,-,-,-,-,3,2
TM Head,10,5,8,0,81,2,2/30,40.5,10.12,24,0,0,3,0
MC Henriques,10,8,21.1,0,185,7,2/14,26.42,8.74,18.1,0,0,5,0
Iqbal Abdulla,15,15,49,1,418,12,3/40,34.83,8.53,24.5,0,0,5,0
KM Jadhav,17,-,-,-,-,-,-,-,-,-,-,-,8,3
W Jaffer,8,-,-,-,-,-,-,-,-,-,-,-,4,0
