KK Ahmed,1,1,3,0,38,0,-,-,12.66,-,0,0,0,0
Anand Rajan,2,2,8,0,42,2,1/20,21,5.25,24,0,0,1,0
S Anirudha,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Ankit Sharma,1,1,2,0,17,0,-,-,8.5,-,0,0,1,0
A Ashish Reddy,22,11,16.3,0,159,7,1/7,22.71,9.63,14.1,0,0,9,0
Basil Thampi,4,4,10.1,0,114,5,2/4,22.8,11.21,12.2,0,0,2,0
RK Bhui,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Bipul Sharma,18,16,37.2,0,300,9,2/13,33.33,8.03,24.8,0,0,3,0
RS Bopara,9,7,20,0,160,6,2/18,26.66,8,20,0,0,2,0
TA Boult,8,8,32,0,275,10,3/19,27.5,8.59,19.2,0,0,3,0
CR Brathwaite,4,4,10.1,0,94,5,2/15,18.8,9.24,12.2,0,0,2,0
BCJ Cutting,8,8,23.5,0,203,6,2/20,33.83,8.51,23.8,0,0,2,0
Q de Kock,3,-,-,-,-,-,-,-,-,-,-,-,3,1
S Dhawan,85,-,-,-,-,-,-,-,-,-,-,-,38,0
AJ Finch,13,-,-,-,-,-,-,-,-,-,-,-,6,0
SP Goswami,6,-,-,-,-,-,-,-,-,-,-,-,5,0
AD Hales,6,-,-,-,-,-,-,-,-,-,-,-,2,0
MC Henriques,42,42,111,0,917,28,3/16,32.75,8.26,23.7,0,0,18,0
JO Holder,1,1,3,0,35,1,1/35,35,11.66,18,0,0,2,0
DJ Hooda,36,11,20,0,163,5,2/16,32.6,8.15,24,0,0,11,0
CJ Jordan,2,2,5,0,40,1,1/9,40,8,30,0,0,0,0
S Kaul,27,27,101.4,0,847,37,4/29,22.89,8.33,16.4,1,0,5,0
B Kumar,71,71,269.2,5,1974,96,5/19,20.56,7.32,16.8,2,1,19,0
P Kumar,12,12,36,0,329,7,2/35,47,9.13,30.8,0,0,3,0
A Mishra,27,27,99.3,1,734,28,4/19,26.21,7.37,21.3,1,0,2,0
Mohammad Nabi,5,5,16,0,105,3,1/13,35,6.56,32,0,0,0,0
Mohammed Siraj,6,6,23,0,212,10,4/32,21.2,9.21,13.8,1,0,1,0
EJG Morgan,16,-,-,-,-,-,-,-,-,-,-,-,8,0
Mustafizur Rahman,17,17,63.4,1,455,17,3/16,26.76,7.14,22.4,0,0,2,0
A Nehra,14,14,47.1,1,396,17,3/15,23.29,8.39,16.6,0,0,2,0
NV Ojha,56,-,-,-,-,-,-,-,-,-,-,-,36,2
MK Pandey,15,-,-,-,-,-,-,-,-,-,-,-,9,0
Parvez Rasool,5,5,14,0,114,2,1/20,57,8.14,42,0,0,1,0
PA Patel,13,-,-,-,-,-,-,-,-,-,-,-,5,3
IK Pathan,10,10,23.4,0,205,4,2/10,51.25,8.66,35.5,0,0,2,0
YK Pathan,15,1,2,0,14,1,1/14,14,7,12,0,0,3,0
NLTC Perera,16,16,59.4,0,478,19,3/20,25.15,8.01,18.8,0,0,5,0
KL Rahul,20,-,-,-,-,-,-,-,-,-,-,-,5,0
Rashid Khan,31,31,122,2,816,38,3/19,21.47,6.68,19.2,0,0,11,0
DB Ravi Teja,2,-,-,-,-,-,-,-,-,-,-,-,0,0
PA Reddy,7,-,-,-,-,-,-,-,-,-,-,-,2,0
WP Saha,11,-,-,-,-,-,-,-,-,-,-,-,5,1
BB Samantray,8,-,-,-,-,-,-,-,-,-,-,-,3,0
DJG Sammy,20,17,36.2,0,325,11,4/22,29.54,8.94,19.8,1,0,8,0
Sandeep Sharma,12,12,44,0,333,12,2/17,27.75,7.56,22,0,0,2,0
KC Sangakkara,9,-,-,-,-,-,-,-,-,-,-,-,3,0
V Shankar,4,-,-,-,-,-,-,-,-,-,-,-,1,0
Shakib Al Hasan,17,17,57,0,456,14,2/18,32.57,8,24.4,0,0,3,0
I Sharma,23,23,84.4,2,726,19,3/27,38.21,8.57,26.7,0,0,6,0
KV Sharma,46,46,141.4,1,1109,36,4/38,30.8,7.82,23.6,1,0,8,0
BB Sran,15,15,51.3,0,442,14,3/28,31.57,8.58,22,0,0,2,0
B Stanlake,4,4,16,0,130,5,2/21,26,8.12,19.2,0,0,0,0
DW Steyn,37,37,142.5,3,985,33,3/11,29.84,6.89,25.9,0,0,12,0
AP Tare,3,-,-,-,-,-,-,-,-,-,-,-,1,0
X Thalaivan Sargunam,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Y Venugopal Rao,7,2,2,0,16,0,-,-,8,-,0,0,2,0
GH Vihari,22,5,6,0,38,1,1/5,38,6.33,36,0,0,6,0
DA Warner,59,-,-,-,-,-,-,-,-,-,-,-,30,0
CL White,13,2,2,0,16,1,1/14,16,8,12,0,0,10,0
KS Williamson,32,1,1,0,7,0,-,-,7,-,0,0,14,0
Yuvraj Singh,22,7,8.1,0,74,1,1/6,74,9.06,49,0,0,4,0
