player_name,matches_played,innings_bowled,overs_bowled,maidens_earned,runs_conceded,wickets_taken,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,catches_taken,stumpings_made
P Amarnath,6,6,22,0,236,7,2/29,33.71,10.72,18.8,0,0,2,0
S Anirudha,19,-,-,-,-,-,-,-,-,-,-,-,11,0
KB Arun Karthik,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Ashwin,97,94,337.4,4,2180,90,3/16,24.22,6.45,22.5,0,0,20,0
KM Asif,2,2,6,0,75,3,2/43,25,12.5,12,0,0,0,0
S Badree,4,4,14,0,97,2,1/19,48.5,6.92,42,0,0,0,0
S Badrinath,95,-,-,-,-,-,-,-,-,-,-,-,16,0
GJ Bailey,4,-,-,-,-,-,-,-,-,-,-,-,0,0
L Balaji,29,29,93.4,0,809,31,5/24,26.09,8.63,18.1,1,1,5,0
SW Billings,10,-,-,-,-,-,-,-,-,-,-,-,5,0
DE Bollinger,27,27,96,3,693,37,4/13,18.72,7.21,15.5,1,0,8,0
DJ Bravo,77,74,246,1,2075,93,4/42,22.31,8.43,15.8,1,0,48,0
DL Chahar,12,12,38.1,1,278,10,3/15,27.8,7.28,22.9,0,0,1,0
MS Dhoni,145,-,-,-,-,-,-,-,-,-,-,-,69,26
F du Plessis,51,1,1,0,16,0,-,-,16,-,0,0,26,0
SP Fleming,10,-,-,-,-,-,-,-,-,-,-,-,2,0
A Flintoff,3,3,11,0,105,2,1/11,52.5,9.54,33,0,0,4,0
C Ganapathy,1,1,1,0,13,0,-,-,13,-,0,0,0,0
MS Gony,26,26,85,3,707,23,3/34,30.73,8.31,22.1,0,0,5,0
Harbhajan Singh,13,12,31.5,0,270,7,2/22,38.57,8.48,27.2,0,0,4,0
JW Hastings,1,1,3,0,29,1,1/29,29,9.66,18,0,0,0,0
ML Hayden,32,-,-,-,-,-,-,-,-,-,-,-,11,0
BW Hilfenhaus,17,17,62,2,479,22,3/27,21.77,7.72,16.9,0,0,1,0
JO Holder,6,6,20,0,168,2,2/20,84,8.4,60,0,0,3,0
DJ Hussey,5,1,2.5,0,38,2,2/38,19,13.41,8.5,0,0,1,0
MEK Hussey,50,-,-,-,-,-,-,-,-,-,-,-,23,0
Imran Tahir,6,6,20.4,0,188,6,2/34,31.33,9.09,20.6,0,0,2,0
RA Jadeja,86,74,216.1,0,1672,66,5/16,25.33,7.73,19.6,3,1,36,0
KM Jadhav,1,-,-,-,-,-,-,-,-,-,-,-,0,0
SB Jakati,50,48,152.1,1,1180,45,4/22,26.22,7.75,20.2,2,0,17,0
Joginder Sharma,16,15,42.4,0,419,12,2/27,34.91,9.82,21.3,0,0,5,0
S Randiv,8,8,29,0,223,6,2/24,37.16,7.68,29,0,0,2,0
CK Kapugedera,5,3,2.5,0,49,0,-,-,17.29,-,0,0,4,0
JM Kemp,5,5,7.2,0,54,3,3/12,18,7.36,14.6,0,0,1,0
KMDN Kulasekara,6,5,17,0,120,5,2/10,24,7.05,20.4,0,0,4,0
B Laughlin,2,2,7,0,71,1,1/25,71,10.14,42,0,0,0,0
BB McCullum,28,-,-,-,-,-,-,-,-,-,-,-,8,0
VY Mahesh,5,4,9.2,0,81,3,2/21,27,8.67,18.6,0,0,1,0
M Manhas,12,-,-,-,-,-,-,-,-,-,-,-,3,0
RG More,2,2,5.5,0,59,1,1/31,59,10.11,35,0,0,1,0
JA Morkel,78,75,254.1,3,2058,76,4/32,27.07,8.09,20,1,0,15,0
CH Morris,16,16,50,0,401,15,3/40,26.73,8.02,20,0,0,5,0
A Mukund,2,-,-,-,-,-,-,-,-,-,-,-,3,0
M Muralitharan,40,40,156,1,994,40,3/11,24.85,6.37,23.4,0,0,11,0
DP Nannes,5,5,19.5,0,158,4,2/17,39.5,7.96,29.7,0,0,3,0
