"DJ Hussey","R Ashwin","2","2"
"B Chipli","R Ninan","6","2"
"DJ Hussey","JR Hopes","0","5"
"M Vohra","MR Marsh","0","1"
"RA Jadeja","S Kaul","4","1"
"M Vijay","JR Hopes","4","1"
"KM Jadhav","A Kumble","2","1"
"AT Rayudu","L Balaji","2","2"
"MS Dhoni","VY Mahesh","0","6"
"SV Samson","SM Boland","1","2"
"Mohammad Hafeez","AA Noffke","1","1"
"Mandeep Singh","A Ashish Reddy","1","3"
"B Chipli","P Kumar","1","1"
"N Saini","DW Steyn","1","1"
"SB Styris","SK Warne","0","1"
"AM Rahane","S Kaul","1","10"
"SW Billings","AB Dinda","4","1"
"V Sehwag","VS Malik","0","6"
"PD Collingwood","SW Tait","0","2"
"R Dravid","Shoaib Malik","6","1"
"JH Kallis","DL Vettori","6","2"
"G Gambhir","DB Ravi Teja","0","1"
"MEK Hussey","Azhar Mahmood","1","6"
"KM Jadhav","I Sharma","1","5"
"AM Rahane","AM Salvi","1","4"
"SS Tiwary","A Uniyal","1","2"
"WP Saha","PP Chawla","6","7"
"S Badrinath","Bipul Sharma","1","1"
"SC Ganguly","R Vinay Kumar","1","4"
"NV Ojha","CJ Jordan","4","1"
"S Dhawan","KK Cooper","1","3"
"S Dhawan","AS Rajpoot","2","1"
"DPMD Jayawardene","SR Watson","4","1"
"SV Samson","RS Bopara","6","1"
"RA Tripathi","Basil Thampi","0","2"
"AJ Finch","DP Nannes","1","2"
"MS Bisla","STR Binny","0","1"
"GR Napier","CH Gayle","2","2"
"P Kumar","A Singh","1","2"
"LMP Simmons","DW Steyn","4","6"
"Y Venugopal Rao","PC Valthaty","2","1"
"RE van der Merwe","IK Pathan","0","1"
"DPMD Jayawardene","MG Johnson","2","1"
"DR Smith","GB Hogg","4","2"
"AJ Finch","SR Watson","4","1"
"MC Henriques","R Bhatia","2","1"
"KB Arun Karthik","DS Kulkarni","1","2"
"AR Patel","AB Dinda","1","1"
"W Jaffer","MS Gony","2","1"
"R Vinay Kumar","DAJ Bracewell","0","1"
"AC Gilchrist","SP Narine","4","1"
"MJ Lumb","AB Dinda","0","1"
"BJ Hodge","Azhar Mahmood","6","1"
"RV Uthappa","SW Tait","0","5"
"S Sreesanth","L Balaji","0","2"
"MS Bisla","DL Vettori","1","5"
"JH Kallis","GD McGrath","4","1"
"JC Buttler","KC Cariappa","0","2"
"RR Pant","SP Narine","4","1"
"LR Shukla","JA Morkel","1","2"
"DB Ravi Teja","M Muralitharan","4","1"
"DB Das","JA Morkel","4","1"
"Y Nagar","JA Morkel","0","1"
"DS Kulkarni","Sandeep Sharma","0","1"
"SPD Smith","MA Starc","1","3"
"AM Rahane","Mohammed Shami","6","2"
"AM Rahane","Anureet Singh","6","1"
"AJ Tye","MM Sharma","0","1"
"WP Saha","C de Grandhomme","1","4"
"S Vidyut","S Sreesanth","4","2"
"F du Plessis","M Kartik","6","1"
"YK Pathan","SK Raina","2","1"
"ML Hayden","I Sharma","2","2"
"HH Gibbs","DJ Bravo","1","3"
"YK Pathan","J Syed Mohammad","0","1"
"SK Raina","AN Ahmed","6","1"
"GJ Maxwell","M Muralitharan","0","2"
"RP Singh","DP Nannes","0","1"
"R Bhatia","R Vinay Kumar","2","1"
"CA Pujara","R Bhatia","0","1"
"R Vinay Kumar","Z Khan","1","2"
"DA Warner","M Muralitharan","0","10"
"DA Miller","A Mishra","6","1"
"FY Fazal","Z Khan","1","1"
"WD Parnell","PP Ojha","1","3"
"DPMD Jayawardene","AA Chavan","0","3"
"M Manhas","R Ashwin","4","4"
"HM Amla","Iqbal Abdulla","2","1"
"BA Stokes","MP Stoinis","0","1"
"SPD Smith","AD Russell","4","3"
"CH Morris","A Zampa","2","1"
"KC Sangakkara","DJ Hussey","1","15"
"PP Chawla","MC Henriques","0","2"
"DA Miller","RA Jadeja","6","5"
"AB de Villiers","KC Cariappa","0","1"
"R Ashwin","B Kumar","0","3"
"MEK Hussey","PP Chawla","6","1"
"SC Ganguly","FH Edwards","0","8"
"SK Trivedi","Shakib Al Hasan","0","1"
"RG Sharma","AB Agarkar","0","10"
"Mandeep Singh","UT Yadav","4","3"
"CH Morris","PV Tambe","2","1"
"AM Nayar","KK Cooper","0","4"
"AA Bilakhia","A Kumble","1","2"
