"LMP Simmons","S Kaul","6"
"Mohammed Shami","JP Faulkner","2"
"M Kaif","R McLaren","3"
"Y Venugopal Rao","Iqbal Abdulla","7"
"STR Binny","CH Morris","12"
"Gurkeerat Singh","A Nehra","8"
"SA Asnodkar","A Symonds","14"
"Harbhajan Singh","AB Agarkar","6"
"JC Buttler","YS Chahal","5"
"G Gambhir","AB Dinda","17"
"SR Tendulkar","AUK Pathan","8"
"LA Carseldine","IK Pathan","7"
"CJ Anderson","A Nehra","8"
"IR Jaggi","L Balaji","2"
"GJ Bailey","AD Russell","12"
"DR Smith","JA Morkel","36"
"SA Yadav","SR Watson","10"
"MP Stoinis","Iqbal Abdulla","2"
"SR Watson","R Sharma","10"
"JEC Franklin","J Syed Mohammad","4"
"JP Duminy","KH Pandya","8"
"Niraj Patel","SS Sarkar","3"
"Azhar Mahmood","SK Trivedi","15"
"AP Tare","JA Morkel","16"
"SE Marsh","VS Malik","6"
"B Akhil","UT Yadav","5"
"KS Williamson","Shakib Al Hasan","3"
"SS Tiwary","AD Russell","2"
"MK Pandey","J Botha","9"
"SPD Smith","DP Nannes","4"
"M Vijay","RA Jadeja","19"
"S Badree","VR Aaron","2"
"M Vohra","IK Pathan","1"
"AD Mathews","I Sharma","3"
"SP Fleming","DP Vijaykumar","15"
"SR Tendulkar","IK Pathan","56"
"MS Gony","PP Chawla","6"
"J Botha","Shakib Al Hasan","2"
"R Bhatia","JP Duminy","4"
"CA Pujara","JR Hopes","4"
"PA Patel","SM Pollock","7"
"KK Nair","DJ Hooda","9"
"Kuldeep Yadav","TS Mills","2"
"MJ Clarke","J Botha","2"
"SV Samson","K Santokie","2"
"SM Katich","S Tyagi","1"
"P Kumar","BCJ Cutting","2"
"SR Tendulkar","AJ Finch","16"
"Gurkeerat Singh","B Kumar","2"
"TM Dilshan","DS Kulkarni","5"
"CL White","BA Bhatt","3"
"HH Gibbs","UT Yadav","4"
"SB Wagh","KA Pollard","1"
"KP Pietersen","RG Sharma","8"
