,player_name,prediction
0,A Ashish Reddy,4
1,A Chandila,0
2,A Choudhary,0
3,A Flintoff,0
4,A Kumble,2
5,A Mishra,1
6,A Mithun,4
7,A Nehra,5
8,A Nel,0
9,A Singh,4
10,A Symonds,2
11,A Uniyal,0
12,A Zampa,4
13,AA Chavan,4
14,AA Jhunjhunwala,0
15,AA Noffke,0
16,AB Agarkar,2
17,AB Dinda,5
18,AB McDonald,4
19,AC Gilchrist,0
20,AC Thomas,4
21,AD Mascarenhas,4
22,AD Mathews,2
23,AD Russell,2
24,AF Milne,0
25,AG Murtaza,4
26,AJ Finch,0
27,AJ Tye,4
28,AL Menaria,0
29,AM Nayar,4
30,AM Rahane,0
31,AM Salvi,0
32,AN Ahmed,4
33,AP Dole,0
34,AR Patel,3
35,AS Rajpoot,4
36,Anand Rajan,0
37,Ankit Sharma,4
38,Ankit Soni,0
39,Anureet Singh,4
40,Avesh Khan,0
41,Azhar Mahmood,2
42,B Akhil,0
43,B Geeves,0
44,B Kumar,6
45,B Laughlin,4
46,B Lee,2
47,B Stanlake,0
48,BA Bhatt,4
49,BA Stokes,4
50,BAW Mendis,4
51,BB Sran,2
52,BCJ Cutting,4
53,BE Hendricks,0
54,BJ Hodge,4
55,BMAJ Mendis,0
56,BW Hilfenhaus,4
57,Basil Thampi,4
58,Bipul Sharma,4
59,C Nanda,0
60,C de Grandhomme,4
61,CH Gayle,2
62,CH Morris,3
63,CJ Anderson,4
64,CJ Jordan,4
65,CJ McKay,0
66,CK Langeveldt,0
67,CL White,0
68,CR Brathwaite,4
69,CR Woakes,4
70,CRD Fernando,4
71,D Kalyankrishna,0
72,D Salunkhe,0
73,D Wiese,4
74,D du Preez,0
75,DAJ Bracewell,0
76,DB Ravi Teja,0
77,DE Bollinger,2
78,DJ Bravo,1
79,DJ Hooda,4
80,DJ Hussey,4
81,DJ Muthuswami,0
82,DJ Thornely,0
83,DJ Willey,0
84,DJG Sammy,4
85,DJM Short,0
86,DL Chahar,4
87,DL Vettori,2
88,DNT Zoysa,0
89,DP Nannes,2
90,DP Vijaykumar,0
91,DR Smith,2
92,DS Kulkarni,5
93,DT Christian,2
94,DW Steyn,5
95,FH Edwards,0
96,GB Hogg,4
97,GD McGrath,4
98,GH Vihari,0
99,GJ Maxwell,4
100,GR Napier,0
101,GS Sandhu,0
102,Gagandeep Singh,0
103,Gurkeerat Singh,0
104,HH Pandya,2
105,HV Patel,2
106,Harbhajan Singh,1
107,Harmeet Singh,2
108,I Sharma,5
109,IC Pandey,4
110,IK Pathan,6
111,IS Sodhi,0
112,Imran Tahir,2
113,Iqbal Abdulla,2
114,J Botha,2
115,J Suchith,4
116,J Syed Mohammad,4
117,J Theron,4
118,J Yadav,0
119,JA Morkel,5
120,JC Archer,4
121,JD Ryder,4
122,JD Unadkat,3
123,JDP Oram,4
124,JDS Neesham,0
125,JE Taylor,0
126,JEC Franklin,0
127,JH Kallis,5
128,JJ Bumrah,3
129,JJ van der Wath,0
130,JM Kemp,0
131,JO Holder,4
132,JP Duminy,2
133,JP Faulkner,3
134,JPR Scantlebury-Searles,0
135,JR Hopes,4
136,JW Hastings,0
137,Jaskaran Singh,0
138,Joginder Sharma,4
139,K Gowtham,4
140,K Khejroliya,0
141,K Rabada,0
142,K Santokie,0
143,KA Pollard,3
144,KC Cariappa,4
145,KH Pandya,2
146,KJ Abbott,0
147,KK Cooper,2
148,KM Asif,0
149,KMDN Kulasekara,0
150,KP Appanna,4
151,KP Pietersen,0
152,KV Sharma,3
153,KW Richardson,4
154,Kamran Khan,0
155,Karanveer Singh,4
156,Kuldeep Yadav,2
157,L Ablish,0
158,L Balaji,5
159,L Ngidi,0
160,LA Carseldine,0
161,LE Plunkett,0
162,LH Ferguson,0
163,LJ Wright,0
164,LMP Simmons,0
165,LR Shukla,4
166,M Ashwin,4
167,M Kartik,3
168,M Markande,4
169,M Morkel,5
170,M Muralitharan,3
171,M Ntini,0
172,M Prasidh Krishna,4
173,M de Lange,0
174,MA Khote,0
175,MA Starc,2
176,MC Henriques,2
177,MF Maharoof,4
178,MG Johnson,3
179,MJ Clarke,0
180,MJ Henry,0
181,MJ McClenaghan,3
182,MK Tiwary,0
183,MM Ali,0
184,MM Patel,3
185,MM Sharma,5
186,MN Samuels,4
187,MP Stoinis,4
188,MR Marsh,4
189,MS Gony,2
190,Mohammad Asif,4
191,Mohammad Hafeez,0
192,Mohammad Nabi,0
193,Mohammed Shami,2
194,Mohammed Siraj,4
195,Mujeeb Ur Rahman,4
196,Mustafizur Rahman,2
197,N Rana,0
198,NB Singh,0
199,ND Doshi,0
200,NLTC Perera,2
201,NM Coulter-Nile,2
202,P Amarnath,0
203,P Awana,2
204,P Kumar,1
205,P Negi,2
206,P Parameswaran,0
207,P Sahu,0
208,P Suyal,0
209,PC Valthaty,0
210,PD Collingwood,0
211,PJ Cummins,4
212,PJ Sangwan,2
213,PM Sarvesh Kumar,0
214,PP Chawla,1
215,PP Ojha,5
216,PV Tambe,2
217,Pankaj Singh,4
218,Parvez Rasool,4
219,R Ashwin,6
220,R Bhatia,5
221,R Dhawan,4
222,R McLaren,4
223,R Ninan,0
224,R Rampaul,4
225,R Sathish,0
226,R Sharma,2
227,R Shukla,0
228,R Tewatia,4
229,R Vinay Kumar,6
230,RA Jadeja,6
231,RD Chahar,0
232,RE van der Merwe,4
233,RG More,0
234,RG Sharma,4
235,RJ Harris,2
236,RJ Peterson,0
237,RN ten Doeschate,0
238,RP Singh,5
239,RR Powar,4
240,RR Raje,0
241,RS Bopara,4
242,RV Gomez,0
243,Rashid Khan,2
244,S Aravind,2
245,S Badree,4
246,S Dhawan,0
247,S Gopal,4
248,S Kaul,2
249,S Kaushik,4
250,S Ladda,0
251,S Lamichhane,0
252,S Nadeem,3
253,S Narwal,0
254,S Randiv,0
255,S Sreesanth,2
256,S Tyagi,4
257,S Vidyut,0
258,SB Bangar,0
259,SB Jakati,3
260,SB Joshi,0
261,SB Styris,4
262,SB Wagh,0
263,SC Ganguly,4
264,SD Chitnis,0
265,SE Bond,0
266,SJ Srivastava,4
267,SK Raina,2
268,SK Trivedi,3
269,SK Warne,3
270,SL Malinga,6
271,SM Boland,0
272,SM Harwood,0
273,SM Pollock,4
274,SMSM Senanayake,0
275,SN Thakur,2
276,SP Narine,5
277,SR Watson,6
278,SS Agarwal,0
279,SS Mundhe,0
280,SS Sarkar,0
281,ST Jayasuriya,4
282,STR Binny,2
283,SW Tait,4
284,Sachin Baby,0
285,Sandeep Sharma,3
286,Shahid Afridi,0
287,Shakib Al Hasan,3
288,Shivam Mavi,4
289,Shivam Sharma,0
290,Shoaib Ahmed,0
291,Shoaib Akhtar,0
292,Shoaib Malik,0
293,Sohail Tanvir,4
294,Swapnil Singh,0
295,T Henderson,0
296,T Natarajan,0
297,T Shamsi,0
298,T Thushara,0
299,TA Boult,2
300,TG Southee,2
301,TK Curran,0
302,TL Suman,0
303,TM Dilshan,4
304,TM Head,0
305,TP Sudhindra,0
306,TS Mills,0
307,UT Yadav,6
308,Umar Gul,0
309,V Kohli,4
310,V Pratap Singh,4
311,V Sehwag,0
312,V Shankar,0
313,VR Aaron,2
314,VRV Singh,4
315,VS Malik,4
316,VY Mahesh,4
317,WA Mota,0
318,WD Parnell,2
319,WPUJC Vaas,4
320,Washington Sundar,4
321,Y Nagar,0
322,Y Venugopal Rao,4
323,YA Abdulla,4
324,YK Pathan,3
325,YS Chahal,3
326,Yuvraj Singh,2
327,Z Khan,6
