bowler_cluster,batsman_cluster,P0,P1,P2,P3,P4,P6,p_not_out
0.0,0.0,0.35,0.51,0.05,0.01,0.06,0.02,0.57
0.0,1.0,0.4,0.38,0.05,0.0,0.11,0.06,0.68
0.0,2.0,0.36,0.42,0.05,0.0,0.11,0.05,0.52
0.0,3.0,0.48,0.32,0.06,0.0,0.1,0.05,0.45
0.0,4.0,0.39,0.38,0.06,0.01,0.1,0.05,0.65
0.0,5.0,0.34,0.4,0.06,0.0,0.15,0.05,0.76
0.0,6.0,0.37,0.43,0.05,0.01,0.1,0.05,0.71
0.0,7.0,0.4,0.41,0.06,0.0,0.1,0.03,0.55
0.0,8.0,0.38,0.41,0.06,0.0,0.1,0.05,0.67
0.0,9.0,0.43,0.38,0.05,0.0,0.08,0.05,0.59
1.0,0.0,0.55,0.3,0.05,0.01,0.05,0.03,0.42
1.0,1.0,0.4,0.39,0.06,0.0,0.09,0.04,0.91
1.0,2.0,0.33,0.44,0.07,0.0,0.09,0.06,0.95
1.0,3.0,0.41,0.39,0.06,0.0,0.11,0.03,0.8
1.0,4.0,0.4,0.39,0.07,0.0,0.09,0.05,0.88
1.0,5.0,0.36,0.41,0.07,0.0,0.12,0.04,0.95
1.0,6.0,0.36,0.44,0.07,0.0,0.09,0.04,0.94
1.0,7.0,0.47,0.35,0.05,0.02,0.06,0.04,0.71
1.0,8.0,0.44,0.37,0.06,0.01,0.09,0.05,0.84
1.0,9.0,0.39,0.43,0.06,0.0,0.07,0.04,0.74
2.0,0.0,0.48,0.38,0.05,0.0,0.06,0.01,0.47
2.0,1.0,0.41,0.37,0.06,0.0,0.12,0.04,0.82
2.0,2.0,0.35,0.42,0.07,0.0,0.11,0.05,0.91
2.0,3.0,0.41,0.39,0.06,0.0,0.09,0.04,0.69
2.0,4.0,0.4,0.39,0.08,0.0,0.09,0.04,0.78
2.0,5.0,0.38,0.4,0.06,0.0,0.12,0.04,0.88
2.0,6.0,0.37,0.42,0.06,0.0,0.1,0.04,0.81
2.0,7.0,0.43,0.39,0.06,0.0,0.09,0.03,0.61
2.0,8.0,0.4,0.39,0.06,0.0,0.11,0.04,0.75
2.0,9.0,0.4,0.4,0.07,0.0,0.09,0.04,0.69
3.0,0.0,0.53,0.35,0.04,0.0,0.05,0.02,0.47
3.0,1.0,0.41,0.38,0.06,0.0,0.1,0.05,0.9
3.0,2.0,0.37,0.4,0.07,0.0,0.11,0.04,0.93
3.0,3.0,0.41,0.39,0.06,0.0,0.1,0.04,0.77
3.0,4.0,0.42,0.39,0.06,0.0,0.08,0.05,0.82
3.0,5.0,0.38,0.4,0.07,0.0,0.11,0.05,0.92
3.0,6.0,0.36,0.42,0.06,0.0,0.11,0.04,0.87
3.0,7.0,0.43,0.39,0.07,0.0,0.07,0.04,0.66
3.0,8.0,0.4,0.41,0.06,0.0,0.09,0.04,0.82
3.0,9.0,0.4,0.41,0.06,0.0,0.08,0.04,0.73
4.0,0.0,0.47,0.4,0.05,0.0,0.06,0.02,0.48
4.0,1.0,0.39,0.39,0.05,0.0,0.12,0.05,0.72
4.0,2.0,0.33,0.46,0.05,0.0,0.11,0.05,0.8
4.0,3.0,0.41,0.39,0.05,0.0,0.1,0.05,0.7
4.0,4.0,0.38,0.42,0.05,0.0,0.1,0.04,0.74
4.0,5.0,0.36,0.41,0.06,0.0,0.11,0.05,0.8
4.0,6.0,0.36,0.43,0.06,0.0,0.11,0.04,0.69
4.0,7.0,0.4,0.44,0.05,0.0,0.07,0.03,0.58
4.0,8.0,0.38,0.42,0.06,0.01,0.09,0.05,0.69
4.0,9.0,0.39,0.41,0.06,0.0,0.09,0.05,0.56
5.0,0.0,0.5,0.38,0.05,0.0,0.06,0.02,0.49
5.0,1.0,0.43,0.34,0.06,0.0,0.14,0.03,0.92
5.0,2.0,0.37,0.38,0.08,0.01,0.12,0.05,0.94
5.0,3.0,0.41,0.39,0.05,0.0,0.11,0.03,0.78
5.0,4.0,0.41,0.37,0.06,0.01,0.12,0.04,0.89
5.0,5.0,0.4,0.36,0.06,0.01,0.12,0.05,0.94
5.0,6.0,0.42,0.36,0.06,0.0,0.12,0.04,0.9
5.0,7.0,0.43,0.39,0.06,0.0,0.09,0.03,0.65
5.0,8.0,0.42,0.36,0.06,0.0,0.11,0.04,0.83
5.0,9.0,0.44,0.38,0.06,0.0,0.09,0.02,0.72
6.0,0.0,0.49,0.38,0.05,0.0,0.06,0.02,0.59
6.0,1.0,0.43,0.34,0.05,0.0,0.14,0.04,0.93
6.0,2.0,0.4,0.39,0.06,0.0,0.12,0.03,0.95
6.0,3.0,0.38,0.38,0.08,0.01,0.1,0.05,0.81
6.0,4.0,0.43,0.35,0.06,0.0,0.13,0.02,0.89
6.0,5.0,0.43,0.35,0.06,0.0,0.12,0.03,0.93
6.0,6.0,0.42,0.37,0.08,0.0,0.1,0.03,0.91
6.0,7.0,0.43,0.38,0.06,0.0,0.1,0.03,0.67
6.0,8.0,0.41,0.39,0.06,0.0,0.11,0.04,0.86
6.0,9.0,0.44,0.38,0.06,0.0,0.09,0.03,0.71
