,index,batsman,bowler,no_of_times,no_of_balls,p_out,p_not_out,bowler_cluster,batsman_cluster
0,3697,S Anirudha,B Kumar,1,2,0.5,0.5,6.0,7
1,3699,S Anirudha,JE Taylor,1,3,0.333333333333333,0.666666666666667,0.0,7
2,3704,S Anirudha,Shakib Al Hasan,1,2,0.5,0.5,3.0,7
3,3700,S Anirudha,JH Kallis,1,8,0.125,0.875,5.0,7
4,3698,S Anirudha,Harbhajan Singh,1,4,0.25,0.75,1.0,7
5,3703,S Anirudha,RP Singh,1,11,0.0909090909090909,0.909090909090909,5.0,7
6,3702,S Anirudha,RJ Harris,1,7,0.142857142857143,0.857142857142857,2.0,7
7,3701,S Anirudha,P Kumar,1,1,1,0,1.0,7
8,4504,TM Dilshan,J Botha,1,22,0.0454545454545455,0.954545454545455,2.0,8
9,4509,TM Dilshan,M Muralitharan,1,11,0.0909090909090909,0.909090909090909,3.0,8
10,4498,TM Dilshan,DR Smith,1,12,0.0833333333333333,0.916666666666667,2.0,8
11,4523,TM Dilshan,YK Pathan,1,15,0.0666666666666667,0.933333333333333,3.0,8
12,4513,TM Dilshan,R McLaren,1,1,1,0,4.0,8
13,4496,TM Dilshan,AD Mascarenhas,1,7,0.142857142857143,0.857142857142857,4.0,8
14,4519,TM Dilshan,SL Malinga,2,51,0.0392156862745098,0.96078431372549,6.0,8
15,4508,TM Dilshan,LJ Wright,1,6,0.166666666666667,0.833333333333333,0.0,8
16,4495,TM Dilshan,AB Dinda,2,21,0.0952380952380952,0.904761904761905,5.0,8
17,4493,TM Dilshan,A Kumble,1,17,0.0588235294117647,0.941176470588235,2.0,8
18,4497,TM Dilshan,DE Bollinger,1,1,1,0,2.0,8
19,4514,TM Dilshan,R Sharma,1,16,0.0625,0.9375,2.0,8
20,4516,TM Dilshan,S Sreesanth,3,16,0.1875,0.8125,2.0,8
21,4503,TM Dilshan,I Sharma,3,17,0.176470588235294,0.823529411764706,5.0,8
22,4507,TM Dilshan,L Balaji,1,20,0.05,0.95,5.0,8
23,4501,TM Dilshan,Harbhajan Singh,1,36,0.0277777777777778,0.972222222222222,1.0,8
24,4521,TM Dilshan,V Pratap Singh,1,10,0.1,0.9,4.0,8
25,4517,TM Dilshan,SB Jakati,1,5,0.2,0.8,3.0,8
26,4502,TM Dilshan,Harmeet Singh,1,12,0.0833333333333333,0.916666666666667,2.0,8
27,4522,TM Dilshan,VR Aaron,1,2,0.5,0.5,2.0,8
28,4512,TM Dilshan,PP Ojha,1,23,0.0434782608695652,0.956521739130435,5.0,8
29,4520,TM Dilshan,SR Watson,1,14,0.0714285714285714,0.928571428571429,6.0,8
30,4499,TM Dilshan,DS Kulkarni,1,5,0.2,0.8,5.0,8
31,4515,TM Dilshan,RP Singh,1,48,0.0208333333333333,0.979166666666667,5.0,8
32,4518,TM Dilshan,SK Warne,2,21,0.0952380952380952,0.904761904761905,3.0,8
33,4494,TM Dilshan,A Symonds,1,15,0.0666666666666667,0.933333333333333,2.0,8
34,4500,TM Dilshan,DW Steyn,1,24,0.0416666666666667,0.958333333333333,5.0,8
35,4505,TM Dilshan,JA Morkel,2,14,0.142857142857143,0.857142857142857,5.0,8
36,4511,TM Dilshan,MM Patel,1,40,0.025,0.975,3.0,8
37,4506,TM Dilshan,JR Hopes,1,2,0.5,0.5,4.0,8
38,4510,TM Dilshan,MG Johnson,1,11,0.0909090909090909,0.909090909090909,3.0,8
39,1667,J Botha,B Kumar,1,2,0.5,0.5,6.0,9
40,1675,J Botha,R Ashwin,1,12,0.0833333333333333,0.916666666666667,6.0,9
41,1665,J Botha,AB Agarkar,1,3,0.333333333333333,0.666666666666667,2.0,9
42,1672,J Botha,MF Maharoof,1,8,0.125,0.875,4.0,9
43,1679,J Botha,S Aravind,1,2,0.5,0.5,2.0,9
44,1666,J Botha,Anand Rajan,2,8,0.25,0.75,0.0,9
45,1681,J Botha,SL Malinga,1,9,0.111111111111111,0.888888888888889,6.0,9
46,1669,J Botha,DE Bollinger,1,3,0.333333333333333,0.666666666666667,2.0,9
47,1676,J Botha,R Bhatia,1,1,1,0,5.0,9
48,1674,J Botha,NLTC Perera,1,4,0.25,0.75,2.0,9
49,1677,J Botha,R Sharma,1,2,0.5,0.5,2.0,9
50,1680,J Botha,SB Jakati,1,8,0.125,0.875,3.0,9
51,1668,J Botha,BA Bhatt,1,2,0.5,0.5,4.0,9
52,1671,J Botha,KK Cooper,1,2,0.5,0.5,2.0,9
53,1678,J Botha,RA Jadeja,1,11,0.0909090909090909,0.909090909090909,6.0,9
54,1670,J Botha,DW Steyn,1,16,0.0625,0.9375,5.0,9
55,1673,J Botha,MM Patel,1,5,0.2,0.8,3.0,9
56,1942,KA Pollard,J Botha,1,11,0.0909090909090909,0.909090909090909,2.0,1
57,1952,KA Pollard,M Muralitharan,1,14,0.0714285714285714,0.928571428571429,3.0,1
58,1945,KA Pollard,Jaskaran Singh,1,2,0.5,0.5,0.0,1
59,1930,KA Pollard,AR Patel,1,13,0.0769230769230769,0.923076923076923,3.0,1
60,1973,KA Pollard,STR Binny,1,6,0.166666666666667,0.833333333333333,2.0,1
61,1955,KA Pollard,MP Stoinis,1,7,0.142857142857143,0.857142857142857,4.0,1
62,1931,KA Pollard,B Kumar,1,7,0.142857142857143,0.857142857142857,6.0,1
63,1962,KA Pollard,R McLaren,1,4,0.25,0.75,4.0,1
64,1946,KA Pollard,JD Unadkat,1,14,0.0714285714285714,0.928571428571429,3.0,1
65,1960,KA Pollard,R Ashwin,2,25,0.08,0.92,6.0,1
66,1967,KA Pollard,S Aravind,1,9,0.111111111111111,0.888888888888889,2.0,1
67,1928,KA Pollard,Anand Rajan,1,6,0.166666666666667,0.833333333333333,0.0,1
68,1974,KA Pollard,TG Southee,1,9,0.111111111111111,0.888888888888889,2.0,1
69,1943,KA Pollard,J Theron,1,7,0.142857142857143,0.857142857142857,4.0,1
70,1947,KA Pollard,JE Taylor,1,8,0.125,0.875,0.0,1
71,1971,KA Pollard,Shakib Al Hasan,1,23,0.0434782608695652,0.956521739130435,3.0,1
72,1924,KA Pollard,A Kumble,1,9,0.111111111111111,0.888888888888889,2.0,1
73,1961,KA Pollard,R Bhatia,2,20,0.1,0.9,5.0,1
74,1975,KA Pollard,UT Yadav,1,17,0.0588235294117647,0.941176470588235,6.0,1
75,1964,KA Pollard,R Vinay Kumar,1,20,0.05,0.95,6.0,1
76,1948,KA Pollard,JH Kallis,1,7,0.142857142857143,0.857142857142857,5.0,1
77,1925,KA Pollard,A Mishra,1,57,0.0175438596491228,0.982456140350877,1.0,1
78,1963,KA Pollard,R Sharma,1,12,0.0833333333333333,0.916666666666667,2.0,1
79,1927,KA Pollard,AA Chavan,1,9,0.111111111111111,0.888888888888889,4.0,1
80,1976,KA Pollard,YS Chahal,1,17,0.0588235294117647,0.941176470588235,3.0,1
81,1935,KA Pollard,DJ Bravo,3,64,0.046875,0.953125,1.0,1
82,1934,KA Pollard,D Wiese,1,5,0.2,0.8,4.0,1
83,1940,KA Pollard,I Sharma,1,17,0.0588235294117647,0.941176470588235,5.0,1
84,1953,KA Pollard,MC Henriques,1,6,0.166666666666667,0.833333333333333,2.0,1
85,1951,KA Pollard,L Balaji,1,11,0.0909090909090909,0.909090909090909,5.0,1
86,1969,KA Pollard,S Nadeem,1,17,0.0588235294117647,0.941176470588235,3.0,1
87,1932,KA Pollard,BA Bhatt,1,4,0.25,0.75,4.0,1
88,1958,KA Pollard,PP Ojha,1,8,0.125,0.875,5.0,1
89,1954,KA Pollard,MM Sharma,3,27,0.111111111111111,0.888888888888889,5.0,1
90,1972,KA Pollard,SR Watson,1,43,0.0232558139534884,0.976744186046512,6.0,1
91,1937,KA Pollard,DS Kulkarni,1,16,0.0625,0.9375,5.0,1
92,1970,KA Pollard,Sandeep Sharma (1),1,4,0.25,0.75,,1
93,1929,KA Pollard,AP Dole,1,9,0.111111111111111,0.888888888888889,0.0,1
94,1926,KA Pollard,A Nehra,2,21,0.0952380952380952,0.904761904761905,5.0,1
95,1941,KA Pollard,IK Pathan,3,15,0.2,0.8,6.0,1
96,1950,KA Pollard,KK Cooper,1,11,0.0909090909090909,0.909090909090909,2.0,1
97,1965,KA Pollard,RA Jadeja,2,36,0.0555555555555556,0.944444444444444,6.0,1
98,1956,KA Pollard,P Awana,2,12,0.166666666666667,0.833333333333333,2.0,1
99,1936,KA Pollard,DL Vettori,1,4,0.25,0.75,2.0,1
100,1949,KA Pollard,JP Faulkner,1,19,0.0526315789473684,0.947368421052632,3.0,1
101,1968,KA Pollard,S Ladda,1,8,0.125,0.875,0.0,1
102,1939,KA Pollard,DW Steyn,1,45,0.0222222222222222,0.977777777777778,5.0,1
103,1944,KA Pollard,JA Morkel,1,8,0.125,0.875,5.0,1
104,1966,KA Pollard,RJ Harris,1,13,0.0769230769230769,0.923076923076923,2.0,1
105,1933,KA Pollard,CH Morris,1,21,0.0476190476190476,0.952380952380952,3.0,1
106,1938,KA Pollard,DT Christian,1,1,1,0,2.0,1
107,1957,KA Pollard,PP Chawla,1,36,0.0277777777777778,0.972222222222222,1.0,1
108,1959,KA Pollard,PV Tambe,1,14,0.0714285714285714,0.928571428571429,2.0,1
109,1977,KA Pollard,Z Khan,1,21,0.0476190476190476,0.952380952380952,6.0,1
110,2240,LA Carseldine,Y Venugopal Rao,1,2,0.5,0.5,4.0,0
111,2239,LA Carseldine,WPUJC Vaas,1,9,0.111111111111111,0.888888888888889,4.0,0
112,2386,M Muralitharan,A Singh,1,2,0.5,0.5,4.0,0
113,2388,M Muralitharan,Sohail Tanvir,1,3,0.333333333333333,0.666666666666667,4.0,0
114,2385,M Muralitharan,A Ashish Reddy,1,1,1,0,4.0,0
115,2387,M Muralitharan,A Symonds,1,1,1,0,2.0,0
116,733,CA Ingram,R Ashwin,1,9,0.111111111111111,0.888888888888889,6.0,0
117,734,CA Ingram,SL Malinga,1,1,1,0,6.0,0
118,1210,DR Smith,M Muralitharan,2,9,0.222222222222222,0.777777777777778,3.0,1
119,1192,DR Smith,AR Patel,1,13,0.0769230769230769,0.923076923076923,3.0,1
120,1198,DR Smith,HV Patel,2,11,0.181818181818182,0.818181818181818,2.0,1
121,1239,DR Smith,YK Pathan,1,8,0.125,0.875,3.0,1
122,1235,DR Smith,STR Binny,2,14,0.142857142857143,0.857142857142857,2.0,1
123,1194,DR Smith,B Kumar,2,39,0.0512820512820513,0.948717948717949,6.0,1
124,1219,DR Smith,R Ashwin,1,22,0.0454545454545455,0.954545454545455,6.0,1
125,1195,DR Smith,BCJ Cutting,1,3,0.333333333333333,0.666666666666667,4.0,1
126,1224,DR Smith,S Aravind,2,11,0.181818181818182,0.818181818181818,2.0,1
127,1233,DR Smith,SP Narine,1,16,0.0625,0.9375,5.0,1
128,1207,DR Smith,KV Sharma,1,37,0.027027027027027,0.972972972972973,3.0,1
129,1230,DR Smith,SL Malinga,1,28,0.0357142857142857,0.964285714285714,6.0,1
130,1189,DR Smith,AB Dinda,1,10,0.1,0.9,5.0,1
131,1211,DR Smith,MA Starc,1,30,0.0333333333333333,0.966666666666667,2.0,1
