player_name,runs_scored,balls_faced,times_out,batting_average,strike_rate
A Ashish Reddy,280,193,15,18.67,145.08
A Chopra,53,71,6,8.83,74.65
A Choudhary,25,20,1,25.0,125.0
A Flintoff,62,53,2,31.0,116.98
A Kumble,35,47,3,11.67,74.47
A Mishra,341,365,29,11.76,93.42
A Mithun,34,26,5,6.8,130.77
A Mukund,19,22,2,9.5,86.36
A Nehra,41,62,7,5.86,66.13
A Singh,2,10,4,0.5,20.0
A Symonds,974,750,27,36.07,129.87
A Uniyal,4,7,1,4.0,57.14
A Zampa,5,8,2,2.5,62.5
AA Bilakhia,69,85,5,13.8,81.18
AA Chavan,12,11,2,6.0,109.09
AA Jhunjhunwala,217,210,13,16.69,103.33
AA Noffke,9,10,1,9.0,90.0
AB Agarkar,179,154,10,17.9,116.23
AB Barath,42,42,2,21.0,100.0
AB Dinda,26,48,10,2.6,54.17
AB McDonald,123,100,5,24.6,123.0
AB de Villiers,3953,2619,100,39.53,150.94
AC Blizzard,120,90,7,17.14,133.33
AC Gilchrist,2069,1495,76,27.22,138.39
AC Thomas,20,19,2,10.0,105.26
AC Voges,181,143,4,45.25,126.57
AD Hales,148,118,6,24.67,125.42
AD Mascarenhas,79,78,9,8.78,101.28
AD Mathews,724,575,31,23.35,125.91
AD Nath,29,41,5,5.8,70.73
AD Russell,890,502,33,26.97,177.29
AF Milne,7,12,2,3.5,58.33
AG Murtaza,10,14,1,10.0,71.43
AG Paunikar,49,58,5,9.8,84.48
AJ Finch,1737,1329,66,26.32,130.7
AJ Tye,85,68,8,10.63,125.0
AL Menaria,401,356,21,19.1,112.64
AM Nayar,672,577,38,17.68,116.46
AM Rahane,3427,2848,104,32.95,120.33
AN Ahmed,36,26,1,36.0,138.46
AN Ghosh,7,8,2,3.5,87.5
AP Dole,34,22,2,17.0,154.55
AP Majumdar,87,76,4,21.75,114.47
AP Tare,339,273,24,14.13,124.18
AR Patel,686,542,36,19.06,126.57
AS Rajpoot,17,31,4,4.25,54.84
AS Raut,194,167,9,21.56,116.17
AS Yadav,49,39,5,9.8,125.64
AT Rayudu,3018,2317,103,29.3,130.25
AUK Pathan,39,23,5,7.8,169.57
Abhishek Sharma,63,33,1,63.0,190.91
Anirudh Singh,63,66,4,15.75,95.45
Ankit Sharma,87,67,7,12.43,129.85
Ankit Soni,7,9,2,3.5,77.78
Anureet Singh,36,47,4,9.0,76.6
Azhar Mahmood,388,303,19,20.42,128.05
B Akhil,76,55,6,12.67,138.18
B Chipli,280,251,15,18.67,111.55
B Kumar,171,173,21,8.14,98.84
B Laughlin,5,13,2,2.5,38.46
B Lee,124,97,10,12.4,127.84
B Sumanth,35,37,1,35.0,94.59
BA Bhatt,6,7,1,6.0,85.71
BA Stokes,512,382,22,23.27,134.03
BAW Mendis,3,6,2,1.5,50.0
BB McCullum,2880,2186,104,27.69,131.75
BB Samantray,125,113,5,25.0,110.62
BB Sran,7,11,1,7.0,63.64
BCJ Cutting,220,124,9,24.44,177.42
BE Hendricks,1,3,1,1.0,33.33
BJ Haddin,18,11,1,18.0,163.64
BJ Hodge,1400,1118,42,33.33,125.22
BJ Rohrer,193,140,6,32.17,137.86
BMAJ Mendis,23,27,3,7.67,85.19
BR Dunk,40,35,3,13.33,114.29
Basil Thampi,31,34,1,31.0,91.18
Bipul Sharma,187,123,8,23.38,152.03
C Madan,15,19,1,15.0,78.95
C Munro,93,71,8,11.63,130.99
C Nanda,0,1,1,0.0,0.0
C de Grandhomme,257,176,13,19.77,146.02
CA Ingram,21,26,2,10.5,80.77
CA Lynn,875,620,25,35.0,141.13
CA Pujara,390,391,19,20.53,99.74
CH Gayle,3994,2650,97,41.18,150.72
CH Morris,485,291,13,37.31,166.67
CJ Anderson,538,423,22,24.45,127.19
CJ Ferguson,98,117,6,16.33,83.76
CJ Jordan,3,5,2,1.5,60.0
CJ McKay,8,15,1,8.0,53.33
CK Kapugedera,16,23,3,5.33,69.57
CK Langeveldt,8,9,2,4.0,88.89
CL White,954,755,36,26.5,126.36
CM Gautam,169,150,10,16.9,112.67
CR Brathwaite,170,101,11,15.45,168.32
CR Woakes,63,66,6,10.5,95.45
D Kalyankrishna,3,8,1,3.0,37.5
D Salunkhe,33,24,2,16.5,137.5
D Wiese,127,90,4,31.75,141.11
D du Preez,10,13,1,10.0,76.92
DA Miller,1637,1169,46,35.59,140.03
DA Warner,4014,2824,99,40.55,142.14
DB Das,304,261,14,21.71,116.48
DB Ravi Teja,375,317,19,19.74,118.3
DE Bollinger,21,23,1,21.0,91.3
DH Yagnik,170,137,10,17.0,124.09
DJ Bravo,1403,1090,59,23.78,128.72
DJ Harris,111,101,4,27.75,109.9
DJ Hooda,460,349,30,15.33,131.81
DJ Hussey,1322,1075,49,26.98,122.98
DJ Jacobs,92,98,7,13.14,93.88
DJ Muthuswami,1,3,1,1.0,33.33
DJ Thornely,39,53,2,19.5,73.58
DJG Sammy,295,241,15,19.67,122.41
DJM Short,115,99,7,16.43,116.16
DL Chahar,64,35,4,16.0,182.86
DL Vettori,121,113,8,15.13,107.08
DNT Zoysa,11,9,1,11.0,122.22
DP Nannes,4,13,1,4.0,30.77
DPMD Jayawardene,1802,1462,63,28.6,123.26
DR Martyn,19,24,1,19.0,79.17
DR Shorey,8,9,1,8.0,88.89
DR Smith,2385,1764,84,28.39,135.2
DS Kulkarni,96,103,9,10.67,93.2
DS Lehmann,18,18,2,9.0,100.0
DT Christian,446,374,25,17.84,119.25
DT Patil,13,13,2,6.5,100.0
DW Steyn,166,158,22,7.55,105.06
E Lewis,382,276,13,29.38,138.41
EJG Morgan,854,705,40,21.35,121.13
ER Dwivedi,24,14,2,12.0,171.43
F Behardien,14,13,2,7.0,107.69
F du Plessis,1457,1141,48,30.35,127.7
FH Edwards,4,5,1,4.0,80.0
FY Fazal,183,173,10,18.3,105.78
G Gambhir,4217,3404,136,31.01,123.88
GB Hogg,22,22,3,7.33,100.0
GC Smith,739,668,26,28.42,110.63
GD McGrath,4,5,1,4.0,80.0
GH Vihari,280,313,18,15.56,89.46
GJ Bailey,663,544,27,24.56,121.88
GJ Maxwell,1397,867,61,22.9,161.13
GR Napier,15,16,1,15.0,93.75
Gurkeerat Singh,342,272,21,16.29,125.74
H Das,2,5,1,2.0,40.0
H Klaasen,57,47,3,19.0,121.28
HH Gibbs,886,807,32,27.69,109.79
HH Pandya,666,480,28,23.79,138.75
HM Amla,577,407,13,44.38,141.77
HV Patel,107,67,10,10.7,159.7
Harbhajan Singh,828,597,52,15.92,138.69
Harmeet Singh,18,12,4,4.5,150.0
Harpreet Singh,20,26,2,10.0,76.92
I Sharma,45,58,6,7.5,77.59
IC Pandey,0,2,1,0.0,0.0
IK Pathan,1139,946,53,21.49,120.4
IR Jaggi,76,97,5,15.2,78.35
IS Sodhi,1,6,1,1.0,16.67
Imran Tahir,20,27,4,5.0,74.07
Iqbal Abdulla,88,84,2,44.0,104.76
Ishan Kishan,594,431,27,22.0,137.82
J Arunkumar,23,23,3,7.67,100.0
J Botha,409,359,20,20.45,113.93
J Suchith,48,32,1,48.0,150.0
J Syed Mohammad,29,26,2,14.5,111.54
J Theron,10,12,2,5.0,83.33
J Yadav,6,10,2,3.0,60.0
JA Morkel,974,686,40,24.35,141.98
JC Archer,15,21,5,3.0,71.43
JC Buttler,1075,714,31,34.68,150.56
JD Ryder,604,458,28,21.57,131.88
JD Unadkat,54,51,5,10.8,105.88
JDP Oram,106,108,8,13.25,98.15
JDS Neesham,42,46,3,14.0,91.3
JE Taylor,3,3,1,3.0,100.0
JEC Franklin,327,301,11,29.73,108.64
JH Kallis,2427,2222,85,28.55,109.23
JJ Bumrah,35,37,3,11.67,94.59
JJ Roy,179,134,6,29.83,133.58
JJ van der Wath,18,16,2,9.0,112.5
JM Kemp,26,24,2,13.0,108.33
JO Holder,38,31,5,7.6,122.58
JP Duminy,2029,1636,51,39.78,124.02
JP Faulkner,527,389,25,21.08,135.48
JPR Scantlebury-Searles,8,6,1,8.0,133.33
JR Hopes,417,306,16,26.06,136.27
Jaskaran Singh,8,11,1,8.0,72.73
Joginder Sharma,36,30,4,9.0,120.0
K Goel,218,231,15,14.53,94.37
K Gowtham,126,64,9,14.0,196.88
K Rabada,55,64,3,18.33,85.94
KA Pollard,2476,1699,88,28.14,145.73
KAJ Roach,10,9,1,10.0,111.11
KB Arun Karthik,51,51,5,10.2,100.0
KC Cariappa,15,18,3,5.0,83.33
KC Sangakkara,1687,1392,65,25.95,121.19
KD Karthik,3401,2642,127,26.78,128.73
KH Pandya,708,460,23,30.78,153.91
KJ Abbott,13,8,1,13.0,162.5
KK Cooper,116,68,9,12.89,170.59
KK Nair,1459,1133,58,25.16,128.77
KL Rahul,1384,993,36,38.44,139.38
KM Jadhav,917,684,38,24.13,134.06
KP Appanna,2,4,1,2.0,50.0
KP Pietersen,1001,743,27,37.07,134.72
KS Williamson,1146,834,27,42.44,137.41
KV Sharma,317,274,21,15.1,115.69
KW Richardson,36,39,3,12.0,92.31
Kamran Akmal,128,78,5,25.6,164.1
Kamran Khan,3,5,1,3.0,60.0
Karanveer Singh,12,17,1,12.0,70.59
Kuldeep Yadav,32,46,3,10.67,69.57
L Balaji,36,49,8,4.5,73.47
L Ronchi,34,34,5,6.8,100.0
LA Carseldine,81,68,4,20.25,119.12
LA Pomersbach,302,246,11,27.45,122.76
LE Plunkett,1,3,1,1.0,33.33
LJ Wright,106,60,5,21.2,176.67
LMP Simmons,1079,852,27,39.96,126.64
LPC Silva,40,26,2,20.0,153.85
LR Shukla,405,350,27,15.0,115.71
LRPL Taylor,1017,822,40,25.43,123.72
M Ashwin,1,3,2,0.5,33.33
M Kaif,259,250,18,14.39,103.6
M Kartik,113,108,7,16.14,104.63
M Klinger,73,77,4,18.25,94.81
M Manhas,514,470,23,22.35,109.36
M Markande,21,24,2,10.5,87.5
M Morkel,126,90,11,11.45,140.0
M Muralitharan,20,30,6,3.33,66.67
M Ntini,11,18,1,11.0,61.11
M Rawat,55,69,5,11.0,79.71
M Vijay,2523,2045,96,26.28,123.37
M Vohra,1012,768,43,23.53,131.77
M de Lange,1,2,1,1.0,50.0
MA Agarwal,934,754,56,16.68,123.87
MA Khote,24,22,2,12.0,109.09
