"","batsman","bowler","no_of_times","no_of_balls","p_out","p_not_out"
"1","A Ashish Reddy","A Nehra",1,9,0.111111111111111,0.888888888888889
"2","A Ashish Reddy","BW Hilfenhaus",1,2,0.5,0.5
"3","A Ashish Reddy","DJ Bravo",1,13,0.0769230769230769,0.923076923076923
"4","A Ashish Reddy","KA Pollard",1,3,0.333333333333333,0.666666666666667
"5","A Ashish Reddy","M Morkel",1,5,0.2,0.8
"6","A Ashish Reddy","MM Patel",1,2,0.5,0.5
"7","A Ashish Reddy","P Awana",1,2,0.5,0.5
"8","A Ashish Reddy","R Vinay Kumar",2,11,0.181818181818182,0.818181818181818
"9","A Ashish Reddy","RP Singh",1,2,0.5,0.5
"10","A Ashish Reddy","SMSM Senanayake",1,4,0.25,0.75
"11","A Ashish Reddy","SR Watson",1,5,0.2,0.8
"12","A Ashish Reddy","STR Binny",1,4,0.25,0.75
"13","A Chopra","DW Steyn",1,4,0.25,0.75
"14","A Chopra","JR Hopes",1,2,0.5,0.5
"15","A Chopra","PJ Sangwan",1,10,0.1,0.9
"16","A Chopra","PP Ojha",1,6,0.166666666666667,0.833333333333333
"17","A Flintoff","A Nehra",1,4,0.25,0.75
"18","A Flintoff","Harbhajan Singh",1,5,0.2,0.8
"19","A Kumble","Sohail Tanvir",1,2,0.5,0.5
"20","A Kumble","YA Abdulla",1,2,0.5,0.5
"21","A Mishra","A Symonds",1,1,1,0
"22","A Mishra","CRD Fernando",1,4,0.25,0.75
"23","A Mishra","DE Bollinger",1,5,0.2,0.8
"24","A Mishra","GB Hogg",1,6,0.166666666666667,0.833333333333333
"25","A Mishra","Harmeet Singh",1,1,1,0
"26","A Mishra","JJ Bumrah",1,2,0.5,0.5
"27","A Mishra","JP Faulkner",1,3,0.333333333333333,0.666666666666667
"28","A Mishra","KA Pollard",1,10,0.1,0.9
"29","A Mishra","Kamran Khan",1,1,1,0
"30","A Mishra","LR Shukla",1,1,1,0
"31","A Mishra","MA Starc",1,3,0.333333333333333,0.666666666666667
"32","A Mishra","MM Patel",1,17,0.0588235294117647,0.941176470588235
"33","A Mishra","MR Marsh",1,8,0.125,0.875
"34","A Mishra","PC Valthaty",1,1,1,0
"35","A Mishra","R Ashwin",1,12,0.0833333333333333,0.916666666666667
"36","A Mishra","SK Trivedi",1,17,0.0588235294117647,0.941176470588235
"37","A Mishra","SL Malinga",2,11,0.181818181818182,0.818181818181818
"38","A Mithun","A Mishra",1,1,1,0
"39","A Mithun","DJ Bravo",1,2,0.5,0.5
"40","A Mithun","M Morkel",1,2,0.5,0.5
"41","A Mithun","RJ Harris",1,6,0.166666666666667,0.833333333333333
"42","A Mithun","SP Narine",1,2,0.5,0.5
"43","A Mukund","SK Trivedi",1,3,0.333333333333333,0.666666666666667
"44","A Mukund","Sohail Tanvir",1,1,1,0
"45","A Nehra","DJ Bravo",1,1,1,0
"46","A Nehra","IK Pathan",1,9,0.111111111111111,0.888888888888889
"47","A Nehra","KA Pollard",1,1,1,0
"48","A Nehra","NLTC Perera",1,1,1,0
"49","A Nehra","SL Malinga",1,3,0.333333333333333,0.666666666666667
"50","A Nehra","SP Narine",1,1,1,0
"51","A Singh","A Mishra",1,1,1,0
"52","A Singh","KA Pollard",1,3,0.333333333333333,0.666666666666667
"53","A Singh","Shakib Al Hasan",1,2,0.5,0.5
"54","A Singh","SK Raina",1,1,1,0
"55","A Symonds","A Kumble",2,13,0.153846153846154,0.846153846153846
"56","A Symonds","A Mishra",3,42,0.0714285714285714,0.928571428571429
"57","A Symonds","AB Agarkar",1,20,0.05,0.95
"58","A Symonds","CH Gayle",1,2,0.5,0.5
"59","A Symonds","DW Steyn",1,24,0.0416666666666667,0.958333333333333
"60","A Symonds","I Sharma",1,16,0.0625,0.9375
"61","A Symonds","J Botha",1,3,0.333333333333333,0.666666666666667
"62","A Symonds","J Theron",1,3,0.333333333333333,0.666666666666667
"63","A Symonds","JE Taylor",1,3,0.333333333333333,0.666666666666667
"64","A Symonds","MC Henriques",1,2,0.5,0.5
"65","A Symonds","MF Maharoof",1,2,0.5,0.5
"66","A Symonds","R Ashwin",1,16,0.0625,0.9375
"67","A Symonds","R Bhatia",1,1,1,0
"68","A Symonds","R McLaren",1,8,0.125,0.875
"69","A Symonds","RA Jadeja",1,9,0.111111111111111,0.888888888888889
"70","A Symonds","RE van der Merwe",1,12,0.0833333333333333,0.916666666666667
"71","A Symonds","SK Trivedi",1,21,0.0476190476190476,0.952380952380952
"72","A Symonds","SL Malinga",1,6,0.166666666666667,0.833333333333333
"73","A Symonds","Yuvraj Singh",2,15,0.133333333333333,0.866666666666667
"74","A Uniyal","SL Malinga",1,1,1,0
"75","A Zampa","A Nehra",1,1,1,0
"76","AA Bilakhia","A Mishra",1,11,0.0909090909090909,0.909090909090909
"77","AA Bilakhia","DL Vettori",1,6,0.166666666666667,0.833333333333333
"78","AA Bilakhia","R Vinay Kumar",1,5,0.2,0.8
"79","AA Bilakhia","SK Warne",1,3,0.333333333333333,0.666666666666667
"80","AA Bilakhia","SM Harwood",1,1,1,0
"81","AA Chavan","KA Pollard",1,1,1,0
"82","AA Jhunjhunwala","DE Bollinger",1,2,0.5,0.5
"83","AA Jhunjhunwala","Harmeet Singh",1,1,1,0
"84","AA Jhunjhunwala","I Sharma",1,1,1,0
"85","AA Jhunjhunwala","JH Kallis",1,12,0.0833333333333333,0.916666666666667
"86","AA Jhunjhunwala","KA Pollard",1,2,0.5,0.5
"87","AA Jhunjhunwala","M Morkel",1,2,0.5,0.5
"88","AA Jhunjhunwala","Pankaj Singh",1,4,0.25,0.75
"89","AA Jhunjhunwala","SJ Srivastava",1,3,0.333333333333333,0.666666666666667
"90","AA Jhunjhunwala","SL Malinga",1,6,0.166666666666667,0.833333333333333
"91","AA Jhunjhunwala","T Thushara",1,3,0.333333333333333,0.666666666666667
"92","AB Agarkar","DJ Bravo",1,4,0.25,0.75
"93","AB Agarkar","MS Gony",1,2,0.5,0.5
"94","AB Agarkar","PD Collingwood",1,4,0.25,0.75
"95","AB Agarkar","PJ Sangwan",1,8,0.125,0.875
"96","AB Agarkar","R Ashwin",1,4,0.25,0.75
"97","AB Agarkar","SR Watson",1,9,0.111111111111111,0.888888888888889
"98","AB Agarkar","ST Jayasuriya",1,6,0.166666666666667,0.833333333333333
"99","AB Barath","JP Duminy",1,1,1,0
"100","AB Barath","PP Ojha",1,5,0.2,0.8
"101","AB de Villiers","A Mishra",1,15,0.0666666666666667,0.933333333333333
"102","AB de Villiers","A Nehra",2,29,0.0689655172413793,0.931034482758621
"103","AB de Villiers","A Zampa",1,3,0.333333333333333,0.666666666666667
"104","AB de Villiers","AC Thomas",1,6,0.166666666666667,0.833333333333333
"105","AB de Villiers","AD Mascarenhas",1,13,0.0769230769230769,0.923076923076923
"106","AB de Villiers","AG Murtaza",1,18,0.0555555555555556,0.944444444444444
"107","AB de Villiers","AR Patel",1,29,0.0344827586206897,0.96551724137931
"108","AB de Villiers","Azhar Mahmood",1,17,0.0588235294117647,0.941176470588235
"109","AB de Villiers","B Kumar",1,31,0.032258064516129,0.967741935483871
"110","AB de Villiers","BB Sran",1,17,0.0588235294117647,0.941176470588235
"111","AB de Villiers","Bipul Sharma",1,5,0.2,0.8
"112","AB de Villiers","CL White",1,2,0.5,0.5
"113","AB de Villiers","CR Brathwaite",1,1,1,0
"114","AB de Villiers","DJ Bravo",1,44,0.0227272727272727,0.977272727272727
"115","AB de Villiers","DJ Hussey",1,13,0.0769230769230769,0.923076923076923
"116","AB de Villiers","DP Nannes",1,7,0.142857142857143,0.857142857142857
"117","AB de Villiers","DR Smith",1,16,0.0625,0.9375
"118","AB de Villiers","DS Kulkarni",1,38,0.0263157894736842,0.973684210526316
"119","AB de Villiers","DW Steyn",1,23,0.0434782608695652,0.956521739130435
"120","AB de Villiers","Harbhajan Singh",1,68,0.0147058823529412,0.985294117647059
"121","AB de Villiers","IC Pandey",1,17,0.0588235294117647,0.941176470588235
"122","AB de Villiers","JA Morkel",3,29,0.103448275862069,0.896551724137931
"123","AB de Villiers","JH Kallis",1,42,0.0238095238095238,0.976190476190476
"124","AB de Villiers","JJ Bumrah",2,34,0.0588235294117647,0.941176470588235
"125","AB de Villiers","JP Faulkner",1,30,0.0333333333333333,0.966666666666667
"126","AB de Villiers","KA Pollard",2,16,0.125,0.875
"127","AB de Villiers","KC Cariappa",1,11,0.0909090909090909,0.909090909090909
"128","AB de Villiers","KH Pandya",2,11,0.181818181818182,0.818181818181818
"129","AB de Villiers","KJ Abbott",1,2,0.5,0.5
"130","AB de Villiers","KP Appanna",1,8,0.125,0.875
"131","AB de Villiers","KW Richardson",1,6,0.166666666666667,0.833333333333333
"132","AB de Villiers","L Balaji",3,29,0.103448275862069,0.896551724137931
"133","AB de Villiers","MC Henriques",1,29,0.0344827586206897,0.96551724137931
"134","AB de Villiers","MM Sharma",1,6,0.166666666666667,0.833333333333333
"135","AB de Villiers","MR Marsh",1,4,0.25,0.75
"136","AB de Villiers","MS Gony",1,24,0.0416666666666667,0.958333333333333
"137","AB de Villiers","Mustafizur Rahman",1,12,0.0833333333333333,0.916666666666667
"138","AB de Villiers","NLTC Perera",1,6,0.166666666666667,0.833333333333333
"139","AB de Villiers","P Awana",1,11,0.0909090909090909,0.909090909090909
"140","AB de Villiers","PP Chawla",4,44,0.0909090909090909,0.909090909090909
"141","AB de Villiers","PV Tambe",1,32,0.03125,0.96875
"142","AB de Villiers","R Ashwin",2,35,0.0571428571428571,0.942857142857143
"143","AB de Villiers","R Dhawan",1,6,0.166666666666667,0.833333333333333
"144","AB de Villiers","R Sharma",1,12,0.0833333333333333,0.916666666666667
"145","AB de Villiers","R Vinay Kumar",1,20,0.05,0.95
"146","AB de Villiers","RE van der Merwe",1,5,0.2,0.8
"147","AB de Villiers","RP Singh",1,12,0.0833333333333333,0.916666666666667
"148","AB de Villiers","S Kaul",1,14,0.0714285714285714,0.928571428571429
